,gene,importance
0,gene=dnaA,0.0003880106837265302
1,gene=dnaI,0.0001625691419792357
2,gene=higA1,0.0
3,gene=eccA1,0.0
4,gene=hupB,9.158295541200078e-05
5,protein=putative HTH-type transcriptional regulator,0.0012211858757675662
6,gene=kptA,1.7585087506670796e-08
7,gene=oleD,2.9211330865944674e-09
8,gene=gyrA1,7.0781155762276e-06
9,gene=guaC,5.3258827813322025e-05
10,gene=galE,7.840109762256476e-09
11,gene=psaC,2.249601482536849e-08
12,gene=mfpA,0.0
13,gene=thyA1,0.0002784602413898677
14,gene=dnaQ,7.737798067560408e-05
15,gene=abrB,0.00010847392675831679
16,gene=yjhA,0.0
17,gene=amiD,0.0
18,protein=Protein SprT-like protein,1.9684337950946524e-05
19,gene=yihU,2.45224712879357e-08
20,gene=xerC_3,1.6265183611488163e-05
21,gene=yncB,6.304492782111972e-06
22,gene=rapA_2,1.9111337204142444e-05
23,gene=proP,2.2766457408243218e-05
24,gene=wbgU,0.0
25,protein=Deoxyguanosine kinase,1.9020073608230945e-05
26,gene=cshA,2.4317303969080142e-05
27,gene=rrrD_2,0.0
28,gene=trxA_2,2.5867518161692882e-05
29,gene=neuO,5.5205597829385194e-06
30,gene=pepE,4.104373094940638e-05
31,gene=rpoC_1,2.6613591915478035e-05
32,gene=ndoA,1.636980007225959e-05
33,gene=phnN,1.7908113680003043e-08
34,gene=lss_2,4.785837445686313e-07
35,gene=parM,0.0
36,gene=sspC,1.3427940608106298e-05
37,gene=yfdG,8.579341360384233e-05
38,gene=ribN,0.0
39,gene=yneA,2.2940944645491323e-08
40,gene=dpnM,0.0002206009816994325
41,gene=ku,7.054112255813154e-07
42,gene=sunI,1.736335629647646e-05
43,gene=moaA2,0.0
44,protein=Epidermal cell differentiation inhibitor,1.8717772988038004e-09
45,gene=msmA,1.900238701823442e-05
46,gene=dasR,2.6523299243271305e-08
47,gene=gyrB_1,6.137704992489453e-06
48,gene=lpxD_2,3.119363681236319e-09
49,gene=ubiB_2,1.0312859329772151e-06
50,gene=rpoC_3,3.328352697666221e-07
51,gene=ykuV,1.1185211879743792e-07
52,gene=rdgC,0.0005472168453907751
53,gene=phrB_2,7.022175633561038e-06
54,gene=dam,0.0004319612471451153
55,protein=Hybrid peroxiredoxin hyPrx5,1.0606722355733612e-07
56,gene=pilE1,2.2480323195391468e-05
57,gene=dnaG_2,6.299270047973929e-05
58,gene=lukDv,0.00014074286612005308
59,gene=purF,4.8410894839355384e-05
60,gene=xkdM_2,3.884328295371844e-05
61,gene=smc_3,5.636387612917746e-06
62,gene=ibpA,1.7946128970849446e-05
63,gene=yorP,1.0114605681396805e-05
64,gene=trxA,0.0003216228619624599
65,gene=yorR,5.3545706900272106e-05
66,gene=aroD,5.619010446819551e-06
67,gene=pfbA,0.00017446065059678682
68,gene=dinB1,0.00010658568319944161
69,gene=ydfZ,4.448119990894483e-05
70,gene=lukEv,0.0
71,gene=cpdA_2,0.0
72,gene=tfaE,0.00032850310588853807
73,gene=ecoRVR,1.1538569106922497e-05
74,protein=Soluble cytochrome b558,2.4687575544656554e-08
75,gene=rpoS,1.0836592461678488e-06
76,gene=lytB_1,4.177844324934222e-09
77,gene=cmk,0.0
78,gene=tauB,0.0
79,gene=lip2,1.0642803015769161e-08
80,gene=recD,7.03319950835156e-05
81,gene=tsf,0.0
82,protein=Putative NrdI-like protein,4.348696286077138e-05
83,gene=queC_2,0.0
84,gene=cwlM,3.8692548432255683e-07
85,gene=smc,0.003148374282948837
86,gene=nusG,9.897266770673108e-05
87,gene=betA_1,1.3179983745312776e-09
88,gene=aplIM,1.318408845300152e-06
89,gene=clpS,6.850551958543304e-07
90,gene=pcnB,0.00027340863213200884
91,gene=mazF,6.604845358031713e-06
92,gene=acm,0.0004846851108684037
93,gene=skfB,6.907565986506234e-06
94,gene=slt,0.00014084070774947785
95,gene=rnhB,5.700587284684138e-05
96,gene=patA,0.0
97,gene=spoIIID,6.712908136008347e-06
98,gene=pilE,9.080392846156045e-06
99,gene=lpxH,1.5352641627124337e-05
100,gene=prkC_2,1.2664502717420798e-05
101,gene=eccD5,2.386661392490432e-05
102,gene=yokD,2.3532141702053013e-05
103,gene=dfrA,0.00023925309229150658
104,gene=ctxB,3.6829960303689184e-08
105,gene=pepD,5.586716339575632e-06
106,gene=dcm,0.00012164704603449465
107,gene=esiB_2,6.388022228110973e-06
108,gene=dadD,0.0
109,gene=yhdJ,0.00022123736080104263
110,gene=rnd,5.9502458991453054e-05
111,gene=dnaN,0.0006491650477085895
112,gene=sspB,2.14160115266803e-08
113,gene=relA,6.951291543850065e-05
114,gene=yehU,1.738491299919534e-05
115,gene=lexA_1,1.0311101316085962e-05
116,protein=PKHD-type hydroxylase,1.6877841940002245e-05
117,gene=mltF,0.0015030121000489778
118,gene=ptrA,0.0
119,gene=ywqF,2.1493589456681347e-06
120,gene=parB,0.00018708108379569967
121,gene=ecoRIIR,9.331024926992801e-05
122,gene=ubiG_2,3.038528656658162e-05
123,gene=nadE,2.4546462521948525e-05
124,gene=klcA,9.512905069469691e-07
125,gene=rpfB,0.0003569789234564568
126,gene=mqnE,0.0
127,gene=hpf,8.990383204823453e-05
128,gene=lytB,0.00014170863164070927
129,gene=relG,1.1253932600651465e-05
130,gene=taqIM,5.389294811493402e-08
131,gene=oatA,0.00019899517797727985
132,gene=rimK,0.0001567370679356721
133,gene=adhc1,9.453707810337362e-06
134,gene=alkB,3.703502795108248e-05
135,gene=truA,6.062045521202587e-08
136,gene=exsA,0.0
137,gene=topA,3.0485674986987067e-05
138,gene=trxC,0.00023143936665862358
139,gene=thiF,2.9087297718207876e-05
140,gene=btuD,0.0
141,gene=ycf3,1.2738364798214787e-08
142,gene=immR_3,6.217106717556138e-05
143,gene=polB_1,5.752211960725756e-06
144,gene=nrnA,3.0429876555582882e-09
145,gene=nrdG,0.0004640520624390934
146,gene=esiB_3,0.0
147,gene=helD,0.0
148,gene=elmMII,0.0
149,gene=blc,0.0
150,gene=nanS,0.00021565992381728476
151,gene=yvcJ,0.0
152,gene=viaA,1.47883311350206e-05
153,gene=gnd,0.0
154,gene=csn,4.439320509950982e-05
155,protein=Sialidase,3.57121365269163e-05
156,gene=agrB,8.80934319955298e-05
157,gene=fis,3.891245730714889e-05
158,gene=rtcB_2,0.0
159,gene=spoVT,1.7236503418726272e-06
160,gene=recE_2,0.0
161,gene=xre_2,2.0073281146825358e-07
162,gene=ubiE,2.0649930340712426e-05
163,gene=sbmC,1.1025827616639236e-05
164,gene=scoF,1.674071350752385e-05
165,gene=argR,6.136439152868959e-08
166,gene=pspE,0.0
167,gene=yjoB_2,0.0
168,gene=espR,3.0593264577331896e-05
169,gene=gghA,3.1956404222086427e-09
170,gene=blaI,0.00040515605535198314
171,gene=purH_2,0.0
172,gene=degQ,0.0001550656457651203
173,gene=aguA,3.422843776385417e-08
174,gene=carH,3.2604216902875224e-08
175,gene=rpoB_2,3.101699983183015e-05
176,gene=noc_1,1.3745965972996815e-05
177,gene=rfbD,1.7681123714259363e-05
178,gene=metG,0.0
179,gene=cobT,5.355102203674392e-05
180,gene=astC,1.8414682957750154e-05
181,gene=pbsA1,4.911384620395888e-07
182,gene=envC,6.4994153589347e-06
183,protein=Ferredoxin--NADP reductase,1.4570012020367978e-05
184,gene=tadA_1,0.0
185,gene=lexA_2,1.7586549633920622e-05
186,gene=yfkN,2.7200820018278477e-09
187,gene=hddC,0.0
188,gene=pelA_1,6.029619014881963e-08
189,gene=maa,3.8583426109137514e-08
190,gene=nrdB_3,0.0
191,gene=dksA,0.00011085563488118496
192,gene=xre,0.0005797052942194232
193,gene=pknB_3,4.0541410749049865e-06
194,gene=cwlK,0.00045181283380853085
195,gene=dnaK_1,1.419309216798566e-05
196,gene=rusA_2,5.295199510730564e-08
197,gene=yjcD,1.425687903739217e-06
198,gene=rplL,6.3744408273058385e-06
199,gene=ymdB,6.544698068565213e-05
200,gene=fcl_1,1.7060890869054664e-09
201,gene=grcA,0.0003627794315921347
202,protein=Initiation-control protein YabA,4.812455228522482e-05
203,gene=ligD,0.00018410598874248312
204,gene=mutT3,8.258874927816577e-07
205,gene=dut_2,0.0
206,gene=xynB,0.0
207,gene=rpoB,7.48002270965068e-05
208,protein=DnaJ-like protein MG200,0.0
209,"protein=Small, acid-soluble spore protein alpha",0.0
210,gene=dnaJ_4,0.0
211,gene=panB,1.4734493144848398e-09
212,gene=iap_1,4.01458865819322e-09
213,gene=hindIIIM,0.000855063132141907
214,gene=lss_1,6.041632045271913e-07
215,gene=kaiC,9.796278034113331e-05
216,gene=whiB_3,3.352952861392265e-08
217,gene=flgJ,0.0006146444653090715
218,gene=rarA,2.7783058393673856e-05
219,gene=ywlC,0.0
220,gene=psbA1,2.3835690976979084e-08
221,gene=gtf1,0.0
222,gene=ppdK,1.2054295468712704e-08
223,gene=nrdF2,4.877084258412423e-07
224,gene=hflC,0.0
225,gene=mftC,4.141558657303947e-06
226,gene=pilQ,6.508665629622713e-06
227,gene=rnr,1.5776221886578412e-05
228,gene=pvuIIM,0.0004474845981445286
229,gene=rkpK,0.0
230,gene=speA,0.00036853501272230793
231,gene=nrdD_2,0.00015202962713887998
232,gene=rffG,3.669916953044483e-05
233,gene=ugpQ,1.226024931120031e-07
234,gene=lss,0.00038109460826503557
235,gene=yhaM,0.0
236,gene=rlpA,6.28393537611948e-05
237,gene=nrdI,6.104040920427856e-05
238,gene=nrdD_1,0.00016877643177121217
239,gene=dut_1,0.0
240,gene=rrrD_1,0.0
241,gene=queC_1,0.0
242,gene=cspC,2.488935932101622e-06
243,gene=capA,0.0
244,gene=cfr,6.470981524199306e-06
245,gene=ydhD,7.851145939786759e-05
246,gene=polB_2,4.028377678594499e-06
247,gene=infB,0.0
248,gene=repA,0.00025033014600017207
249,gene=yosS,0.0
250,gene=sppA_1,6.13896090034981e-06
251,gene=pvadh_2,0.0
252,gene=clpX,5.6912577160210365e-06
253,gene=thyX_1,0.0
254,gene=arfA,0.0
255,gene=psaF,0.0
256,gene=dnaE_2,7.957282809415854e-05
257,gene=macB,0.0
258,gene=virB,1.5539911900706996e-05
259,gene=ssgB,4.864394333242175e-06
260,gene=sigB,7.637511500788866e-06
261,gene=acpP,8.334008783696512e-05
262,gene=pfkA,9.839923538788293e-09
263,gene=idi,3.340827379876924e-07
264,gene=ygiC,2.969604259284961e-05
265,gene=cpoA,1.632326824778709e-06
266,gene=espG5,1.2133637848737699e-05
267,gene=xerS,0.0
268,gene=mscL,0.0
269,gene=djlA,0.0
270,gene=rpoC,4.3206447282924206e-05
271,gene=smc_2,0.00019922589225468906
272,gene=recG,7.563207392848785e-10
273,gene=hflK,0.0
274,gene=ribD,5.245188661253513e-05
275,gene=dinI,0.0003313598208044786
276,gene=ybiX,6.554491619409677e-06
277,gene=entA,0.0
278,gene=clpP1,0.001021158288052243
279,gene=pnuC,0.00038535831215808034
280,gene=nuc,2.344273426143177e-05
281,gene=nlpD,7.328908976164866e-05
282,gene=ctx,1.971312160907282e-07
283,gene=pelA_2,2.7734729963580796e-08
284,gene=clpP_2,6.759094192901175e-06
285,gene=polA_1,0.0007807519221284132
286,gene=vsr,3.032295573908031e-05
287,gene=por,1.8091122404708582e-05
288,gene=glyA2,0.0
289,gene=mshA,3.3653507046908486e-05
290,gene=alkJ,0.0
291,gene=neuA,0.0
292,gene=pomZ,0.0004459987333878725
293,gene=ripA,9.328838743146798e-05
294,gene=carA,3.9498010415477055e-05
295,gene=lacA,1.8976994468706595e-07
296,protein=Putative glutamine amidotransferase,0.00011582987266775791
297,gene=pgdS,1.5164844511707396e-05
298,gene=higA-1,4.286573802594093e-06
299,gene=cobB_2,8.314560810594458e-06
300,gene=mboIIM,0.00015293430928259907
301,gene=ftsH4,4.328106728998277e-05
302,gene=ydjP,0.00010050269266970941
303,gene=queE,0.0006289319581698138
304,protein=Ribonuclease,6.889314604208807e-06
305,protein=Pesticidal crystal protein Cry11Bb,0.0
306,gene=prkC_4,3.830684290176928e-08
307,gene=dpnA_1,6.744480517519536e-05
308,gene=grxA,0.00013849042606572498
309,gene=yjbM,2.5835076720875974e-06
310,gene=def1,0.0
311,gene=yjaB,5.1169185380096224e-08
312,gene=hup,0.00021867183027677982
313,gene=exo I,0.0
314,gene=yokI,1.7651577585459035e-05
315,gene=ligA_1,0.00010845015664371554
316,gene=aacA-aphD,0.0
317,gene=hlb_2,7.259276341081626e-07
318,gene=zot,4.817706087379026e-05
319,gene=glmU,1.1134613230360277e-05
320,gene=pqqE,2.8476388501249766e-05
321,gene=ddrOC,1.9739665305049565e-08
322,gene=groS_1,2.6213365404898144e-05
323,gene=garA,3.143458072363716e-08
324,protein=Main hemagglutinin component,4.850228508093477e-06
325,gene=spxA,3.0932389018484836e-09
326,gene=queD,3.466621722507163e-06
327,protein=Zinc D-Ala-D-Ala carboxypeptidase,0.0011039321544007229
328,gene=moaA,0.0
329,gene=mpa,0.00012969177308072078
330,gene=pknB_1,5.877408814264627e-06
331,gene=pncA,1.0481501277779072e-08
332,protein=putative DNA double-strand break repair Rad50 ATPase,0.0004047451979135001
333,gene=tobZ_2,9.412142044005443e-06
334,gene=apaH_2,0.0
335,gene=nrdE1_1,0.0
336,gene=rimI,1.006999699298528e-05
337,gene=dacD,3.980340002606016e-09
