phage,host,phage_name,host_name,label,prob
NC_026583,CP027541,"Mycobacterium phage Alvin, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.703497463
NC_026584,CP027541,"Mycobacterium phage Minerva, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.901488589
NC_026585,CP027541,"Mycobacteriophage Estave1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.832077454
NC_026588,CP027541,"Mycobacterium phage Squirty, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.919794986
NC_026589,CP027541,"Mycobacterium phage Sbash, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.87301942
NC_011269,CP027541,"Mycobacterium phage ScottMcG, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.904753997
MK450423,CP027541,"Mycobacterium phage Stubby, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.800513843
MK450422,CP027541,"Mycobacterium phage RoMag, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.901602331
MK524503,CP027541,"Mycobacterium phage Fancypants, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.953675877
MK450427,CP027541,"Mycobacterium phage Adlitam, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.804318419
MK450425,CP027541,"Mycobacterium phage Shelob, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.776808956
MK450424,CP027541,"Mycobacterium phage Melpomini, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.874965158
MH590593,CP027541,"Mycobacterium phage Rabinovish, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.772501568
MK450429,CP027541,"Mycobacterium phage Bipolarisk, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.834415585
MH590592,CP027541,"Mycobacterium phage Ryadel, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.951665837
MK524506,CP027541,"Mycobacterium phage Zeuska, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.636576177
MH834613,CP027541,"Mycobacterium phage Fowlmouth, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.458682392
MH834615,CP027541,"Mycobacterium phage KandZ, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.685060848
MH834617,CP027541,"Mycobacterium phage Lizziana, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.855363661
MH697588,CP027541,"Mycobacterium phage Jaykayelowell, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.962662402
MH697581,CP027541,"Mycobacterium phage Crispicous1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.752111123
MH697582,CP027541,"Mycobacterium phage Ejimix, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.959468567
MH697583,CP027541,"Mycobacterium phage EricMillard, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.883534098
MH697584,CP027541,"Mycobacterium phage FrenchFry, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.834832189
MH697585,CP027541,"Mycobacterium phage Gex, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.860087345
MH697586,CP027541,"Mycobacterium phage InigoMontoya, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.844676719
MH697587,CP027541,"Mycobacterium phage IPhane7, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.876570898
KT591076,CP027541,"Mycobacterium phage Weiss13, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.622765548
MK359300,CP027541,"Mycobacterium phage AFIS, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.784797713
MK359301,CP027541,"Mycobacterium phage Kingmustik0402, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.964119472
MK359303,CP027541,"Mycobacterium phage Shnickers, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.801933955
MK359304,CP027541,"Mycobacterium phage SpikeBT, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.761434288
MK359305,CP027541,"Mycobacterium phage Teardrop, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.888906186
MK359306,CP027541,"Mycobacterium phage Norm, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.844356539
MK359307,CP027541,"Mycobacterium phage Ochi17, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.836161726
MK359308,CP027541,"Mycobacterium phage Shaqnato, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.823968837
MG812486,CP027541,"Mycobacterium phage Acme, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.764844521
KY965064,CP027541,"Mycobacterium phage Pippy, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.924563415
KY965065,CP027541,"Mycobacterium phage Heffalump, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.916465455
NC_022753,CP027541,"Mycobacterium phage Fredward, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.91169786
MG812489,CP027541,"Mycobacterium phage Greg, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.833003277
KY965063,CP027541,"Mycobacterium phage PurpleHaze, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.89310566
KX458237,CP027541,"Mycobacterium phage Penny1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.893338766
KX458236,CP027541,"Mycobacterium phage Wilbur, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.810674983
MG944223,CP027541,"Mycobacterium phage Trypo, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.916952106
MG944221,CP027541,"Mycobacterium phage Scowl, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.66173241
MG944220,CP027541,"Mycobacterium phage Ruotula, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.709344208
MG944225,CP027541,"Mycobacterium phage Xavier, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.869586658
MG944224,CP027541,"Mycobacterium phage Wander, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.980376212
JQ300538,CP027541,"Mycobacterium phage Spartacus, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.867758948
NC_023741,CP027541,"Mycobacterium phage Stinger, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.818152812
NC_023740,CP027541,"Mycobacterium phage JacAttac, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.976644753
NC_023742,CP027541,"Mycobacterium phage Akoma, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.772654588
NC_023745,CP027541,"Mycobacterium virus LHTSCC, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.917006953
NC_023747,CP027541,"Mycobacterium phage BarrelRoll, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.382963985
NC_023748,CP027541,"Mycobacterium phage SkiPole, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.708598366
NC_001900,CP027541,"Mycobacterium phage D29, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.975186889
KX781992,CP027541,"Mycobacterium phage Gabriel, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.831384928
KM101117,CP027541,"Mycobacterium phage LizLemon, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.782255429
MG770213,CP027541,"Mycobacterium phage OldBen, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.757855737
MG770216,CP027541,"Mycobacterium phage Rem711, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.69100124
NC_023686,CP027541,"Mycobacterium phage Gadjet, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.845967222
NC_023565,CP027541,"Mycobacterium phage Nyxis, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.812774571
NC_023564,CP027541,"Mycobacterium phage EagleEye, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.943160703
NC_023687,CP027541,"Mycobacterium phage Bruns, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.702728159
NC_023563,CP027541,"Mycobacterium phage Suffolk, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.972099298
JX307705,CP027541,"Mycobacterium phage Marcell, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.672215822
JX307704,CP027541,"Mycobacterium virus Goose, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.492500742
JX307703,CP027541,"Mycobacterium phage Sabertooth, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.962127409
JX307702,CP027541,"Mycobacterium virus Arturo, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.931945299
MK112534,CP027541,"Mycobacterium phage Burrough, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.871765459
MH727549,CP027541,"Mycobacterium phage Gancho, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.663868718
MK112536,CP027541,"Mycobacterium phage Cannibal, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.957597134
MK112530,CP027541,"Mycobacterium phage BigPaolini, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.770672673
MH727543,CP027541,"Mycobacterium phage CharlieB, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.780497311
MH727545,CP027541,"Mycobacterium phage DismalStressor, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.808525638
MH727546,CP027541,"Mycobacterium phage Eaglehorse, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.751365277
MK279866,CP027541,"Mycobacterium phage MRabcd, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.817593198
JF957058,CP027541,"Mycobacterium virus HelDan, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.867675874
HM152765,CP027541,"Mycobacterium phage Island3, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.859490626
HM152766,CP027541,"Mycobacterium phage Eagle, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.948444579
MH976517,CP027541,"Mycobacterium phage Popcicle, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome",1,0.803226085
