ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,type
GO:0015074,DNA integration,23/2521,73/26361,1.61661492070424e-07,0.00019302382153208602,0.000187867670784997,gene=hin_4/gene=hin_1/gene=xis/gene=pinR/gene=intA_5/gene=intS/gene=intS_5/gene=xerD_2/gene=xerC_6/gene=tnpR/gene=tnpR_2/gene=xerC_1/gene=tnsB/gene=xerD_3/gene=fliZ_1/gene=hin_3/gene=intS_3/gene=Int-Tn/gene=intS_7/gene=Int-Tn_1/gene=hin/gene=hin_2/gene=xerC_5,23,biological_process
GO:0008080,N-acetyltransferase activity,19/2521,69/26361,1.6977634649315303e-05,0.0101356478856413,0.009864899290970591,gene=paiA_1/gene=ydaF_1/gene=speG_2/gene=aacA-aphD/gene=ypeA/gene=eis/gene=mshD_3/gene=mshD/gene=mnaT/gene=speG_3/gene=wecD/gene=citC_1/gene=citC/protein=Acetyltransferase/gene=ydaF_2/gene=bltD/gene=paiA_2/gene=yjcF/gene=citC_2,19,molecular_function
GO:0046961,"proton-transporting ATPase activity, rotational mechanism",9/2521,23/26361,0.000155033685083538,0.0617034066632483,0.0600551538007812,gene=atpA_1/gene=atpD1/gene=fliI/gene=yscN_1/gene=atpA/gene=atpD/gene=yscN/gene=atpE_1/gene=atpA_2,9,molecular_function
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",14/2521,53/26361,0.000342472027776074,0.102227900291158,0.09949713649073301,gene=atpA_1/gene=atpD1/gene=atpF/gene=atpE_2/gene=fliI/gene=atpA/gene=atpB/gene=atpE/gene=atpD/gene=atpG/gene=yscN/gene=atpE_1/gene=atpA_2/gene=atpH,14,molecular_function
GO:0019843,rRNA binding,27/2521,143/26361,0.000451562636612925,0.10783315762316599,0.104952663330667,gene=rplO_1/gene=raiA/gene=rpsS/gene=rlmN/gene=rplW/gene=rplE/gene=rnc/gene=rplN/gene=ettA/gene=rpsG/gene=rplO/gene=rpsL/gene=ettA_2/gene=rplT/gene=rpsR/gene=rplU/gene=rpsN/gene=rplB/gene=rpsD/gene=rpsF/gene=rplX/gene=relE_1/gene=dbpA_1/gene=mrnC/gene=rpsE/gene=rplA_1/gene=rplD,27,molecular_function
GO:1990077,primosome complex,9/2521,29/26361,0.00111984637358262,0.16369805639721696,0.159325270442147,gene=dnaG_2/gene=dnaT_2/gene=dnaG/gene=dnaD_1/gene=dnaD_2/gene=dnaI_2/gene=dnaI/gene=dnaB_1/gene=dnaC,9,cellular_component
GO:0009381,excinuclease ABC activity,6/2521,14/26361,0.00115995088028214,0.16369805639721696,0.159325270442147,gene=uvrC_1/gene=uvrB_2/gene=uvrA_1/gene=uvrA/gene=uvrC/gene=uvrB,6,molecular_function
GO:0006269,"DNA replication, synthesis of RNA primer",8/2521,24/26361,0.00125153628696885,0.16369805639721696,0.159325270442147,gene=dnaT_2/gene=dnaC_1/gene=dnaD_1/gene=dnaD_2/gene=dnaI_2/gene=dnaI/gene=dnaB_1/gene=dnaC,8,biological_process
GO:0004088,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,5/2521,10/26361,0.0013299143320283,0.16369805639721696,0.159325270442147,gene=carB_3/gene=carB_1/gene=rizA/gene=carB/gene=carB_2,5,molecular_function
GO:0000150,DNA strand exchange activity,9/2521,30/26361,0.00146541847995765,0.16369805639721696,0.159325270442147,gene=hin_4/gene=hin_1/gene=pinR/gene=tnpR/gene=tnpR_2/gene=hin_3/gene=tnpR_1/gene=hin/gene=hin_2,9,molecular_function
GO:0044205,'de novo' UMP biosynthetic process,10/2521,36/26361,0.0015574644304428699,0.16369805639721696,0.159325270442147,gene=pyrB/gene=carB_3/gene=carB_1/gene=pyrE_1/gene=rizA/gene=pyrD/gene=carB/gene=pyrDB/gene=pyrC_2/gene=carB_2,10,biological_process
GO:0009380,excinuclease repair complex,6/2521,15/26361,0.0017775654556476,0.16369805639721696,0.159325270442147,gene=uvrC_1/gene=uvrB_2/gene=uvrA_1/gene=uvrA/gene=uvrC/gene=uvrB,6,cellular_component
GO:0046718,viral entry into host cell,12/2521,49/26361,0.0018247482399909398,0.16369805639721696,0.159325270442147,gene=hin_1/gene=intA_5/gene=intS/gene=intS_5/gene=xerD_2/gene=xerC_6/gene=xerC_1/gene=intS_3/gene=intS_7/gene=hin/gene=hin_2/gene=xerC_5,12,biological_process
GO:0004040,amidase activity,11/2521,43/26361,0.0019194076964497802,0.16369805639721696,0.159325270442147,gene=fmdA_1/gene=lytG_4/gene=atl_5/gene=flgJ_1/gene=lytG_5/gene=lytG/protein=Muramidase-2/gene=nylA_2/gene=atl_6/gene=amdA/gene=gatA_3,11,molecular_function
GO:0005739,mitochondrion,28/2521,169/26361,0.00284245829854119,0.219919158475078,0.21404456577315195,gene=scpA_3/gene=fosB_6/gene=bioC_2/gene=paaF_5/gene=mmgC_2/gene=dapE_2/gene=aroH_1/gene=hemN_1/gene=acrC_1/gene=guaB_3/gene=bbsG_3/gene=blc/gene=cfiB_3/gene=bbsG/gene=davT/gene=crt_4/gene=nfuA/gene=hemN/gene=cysK/gene=cbs/gene=ilvB_2/gene=steT/gene=sir/gene=lysJ/gene=ypmQ/gene=ctaE/gene=nagK/gene=crt_3,28,cellular_component
