ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,type
GO:0009253,peptidoglycan catabolic process,13/178,18/851,3.21E-06,0.000195568,0.000161989,gene=acm/gene=slt/gene=lss/gene=cwlA/gene=cwlC/gene=atl/gene=lytN/gene=cwlH/gene=lytA/protein=Muramidase-2/gene=lyc/gene=rrrD/gene=lytC,13,biological_process
GO:0019835,cytolysis,10/178,13/851,2.05E-05,0.000416731,0.000345178,gene=acm/gene=mltF/gene=sle1/gene=cwlA/gene=cwlC/gene=atl/gene=lytN/protein=Muramidase-2/gene=lyc/gene=rrrD,10,biological_process
GO:0042742,defense response to bacterium,10/178,13/851,2.05E-05,0.000416731,0.000345178,gene=acm/gene=mltF/gene=sle1/gene=cwlA/gene=cwlC/gene=atl/gene=lytN/protein=Muramidase-2/gene=lyc/gene=rrrD,10,biological_process
GO:0006310,DNA recombination,15/178,26/851,3.32E-05,0.000468591,0.000388134,gene=rdgC/gene=ligD/gene=recU/gene=sbcD/gene=torI/gene=intA/gene=recD2/gene=xerC/gene=intS/gene=ligC/gene=ssbB/gene=intQ/gene=rusA/gene=xerH/gene=recA,15,biological_process
GO:0006260,DNA replication,26/178,60/851,3.84E-05,0.000468591,0.000388134,gene=dnaN/gene=ligD/gene=hindIIIM/gene=nrdD_2/gene=nrdD_1/gene=ligA_1/gene=rtpR/gene=ligA_2/gene=nrdZ/gene=nrdD/gene=dnaE1/gene=sbcD/gene=nrdA_2/gene=nrdB/gene=dnaE/gene=nrdA/gene=ssbA/gene=ssb/gene=thyA2/gene=nrdF/gene=polB/gene=ligC/gene=ssbB/gene=nrdA_1/gene=dnaX/gene=dnaE_1,26,biological_process
GO:0008745,N-acetylmuramoyl-L-alanine amidase activity,9/178,12/851,7.88E-05,0.000801583,0.000663951,gene=lss/gene=sle1/gene=cwlA/gene=cwlC/gene=atl/gene=lytN/gene=cwlH/gene=lytA/gene=lytC,9,molecular_function
GO:0003677,DNA binding,43/178,142/851,0.002506778,0.02184478,0.018094037,gene=abrB/gene=yhdJ/gene=dnaN/gene=parB/gene=hindIIIM/gene=pvuIIM/gene=polA_1/gene=hup/gene=ligA_1/gene=immR/gene=ligA_2/gene=holE/gene=lsr2/gene=dbpA/gene=torI/gene=tnpR/gene=intA/gene=ddrA/gene=ybaQ/gene=whiB1/gene=soj/gene=rhlB/gene=recD2/gene=xerC/gene=bamHIM/gene=whiB2_2/gene=whiB/gene=uvrC/gene=xerC_2/gene=hin/gene=polB/gene=parE/gene=polA/gene=gyrB/gene=intQ/gene=xerD/gene=rapA/gene=topoM/gene=dnaX/gene=xerH/gene=immR_2/gene=gyrA/gene=polA_2,43,molecular_function
GO:0071555,cell wall organization,14/178,33/851,0.003579248,0.027291769,0.022605779,gene=slt/gene=lytB/gene=cwlK/gene=flgJ/gene=lss/gene=sle1/gene=cwlA/gene=atl/gene=lytN/gene=lytG/gene=cwlH/gene=lytA/gene=mepM/gene=lytM,14,biological_process
GO:0030435,sporulation resulting in formation of a cellular spore,8/178,15/851,0.005256588,0.035627984,0.029510668,gene=abrB/gene=parB/gene=lss/gene=apr/gene=cwlA/gene=whiB/gene=cwlH/gene=lytA,8,biological_process
GO:0003887,DNA-directed DNA polymerase activity,9/178,19/851,0.00831694,0.047413758,0.039272828,gene=dinB1/gene=dnaN/gene=polA_1/gene=holE/gene=dnaE1/gene=dnaE/gene=polB/gene=polA/gene=dnaE_1,9,molecular_function
