gene,importance
gene=dnaA,0.0003880106837265302
gene=dnaI,0.00016256914197923568
gene=higA1,0.0
gene=eccA1,0.0
gene=hupB,9.158295541200078e-05
protein=putative HTH-type transcriptional regulator,0.0012211858757675662
gene=kptA,1.7585087506670796e-08
gene=oleD,2.9211330865944678e-09
gene=gyrA1,7.0781155762276e-06
gene=guaC,5.3258827813322025e-05
gene=galE,7.840109762256476e-09
gene=psaC,2.249601482536849e-08
gene=mfpA,0.0
gene=thyA1,0.0002784602413898677
gene=dnaQ,7.737798067560408e-05
gene=abrB,0.00010847392675831679
gene=yjhA,0.0
gene=amiD,0.0
protein=Protein SprT-like protein,1.9684337950946524e-05
gene=yihU,2.45224712879357e-08
gene=xerC_3,1.6265183611488167e-05
gene=yncB,6.3044927821119725e-06
gene=rapA_2,1.9111337204142444e-05
gene=proP,2.2766457408243215e-05
gene=wbgU,0.0
protein=Deoxyguanosine kinase,1.9020073608230945e-05
gene=cshA,2.4317303969080146e-05
gene=rrrD_2,0.0
gene=trxA_2,2.586751816169288e-05
gene=neuO,5.52055978293852e-06
gene=pepE,4.1043730949406376e-05
gene=rpoC_1,2.6613591915478035e-05
gene=ndoA,1.6369800072259588e-05
gene=phnN,1.7908113680003043e-08
gene=lss_2,4.785837445686314e-07
gene=parM,0.0
gene=sspC,1.3427940608106298e-05
gene=yfdG,8.579341360384233e-05
gene=ribN,0.0
gene=yneA,2.2940944645491323e-08
gene=dpnM,0.00022060098169943252
gene=ku,7.054112255813154e-07
gene=sunI,1.736335629647646e-05
gene=moaA2,0.0
protein=Epidermal cell differentiation inhibitor,1.8717772988038004e-09
gene=msmA,1.900238701823442e-05
gene=dasR,2.65232992432713e-08
gene=gyrB_1,6.137704992489452e-06
gene=lpxD_2,3.1193636812363187e-09
gene=ubiB_2,1.0312859329772151e-06
gene=rpoC_3,3.328352697666221e-07
gene=ykuV,1.1185211879743793e-07
gene=rdgC,0.0005472168453907751
gene=phrB_2,7.0221756335610385e-06
gene=dam,0.0004319612471451153
protein=Hybrid peroxiredoxin hyPrx5,1.0606722355733613e-07
gene=pilE1,2.2480323195391468e-05
gene=dnaG_2,6.29927004797393e-05
gene=lukDv,0.00014074286612005308
gene=purF,4.841089483935538e-05
gene=xkdM_2,3.884328295371844e-05
gene=smc_3,5.636387612917746e-06
gene=ibpA,1.7946128970849446e-05
gene=yorP,1.0114605681396803e-05
gene=trxA,0.0003216228619624599
gene=yorR,5.35457069002721e-05
gene=aroD,5.619010446819551e-06
gene=pfbA,0.00017446065059678682
gene=dinB1,0.0001065856831994416
gene=ydfZ,4.448119990894483e-05
gene=lukEv,0.0
gene=cpdA_2,0.0
gene=tfaE,0.00032850310588853807
gene=ecoRVR,1.1538569106922494e-05
protein=Soluble cytochrome b558,2.4687575544656557e-08
gene=rpoS,1.0836592461678488e-06
gene=lytB_1,4.177844324934222e-09
gene=cmk,0.0
gene=tauB,0.0
gene=lip2,1.064280301576916e-08
gene=recD,7.03319950835156e-05
gene=tsf,0.0
protein=Putative NrdI-like protein,4.348696286077138e-05
gene=queC_2,0.0
gene=cwlM,3.869254843225568e-07
gene=smc,0.003148374282948837
gene=nusG,9.897266770673108e-05
gene=betA_1,1.3179983745312774e-09
gene=aplIM,1.318408845300152e-06
gene=clpS,6.850551958543304e-07
gene=pcnB,0.00027340863213200884
gene=mazF,6.604845358031712e-06
gene=acm,0.0004846851108684037
gene=skfB,6.907565986506233e-06
gene=slt,0.00014084070774947783
gene=rnhB,5.700587284684138e-05
gene=patA,0.0
gene=spoIIID,6.712908136008347e-06
gene=pilE,9.080392846156045e-06
gene=lpxH,1.5352641627124334e-05
gene=prkC_2,1.2664502717420798e-05
gene=eccD5,2.386661392490432e-05
gene=yokD,2.353214170205301e-05
gene=dfrA,0.00023925309229150653
gene=ctxB,3.6829960303689184e-08
gene=pepD,5.586716339575632e-06
gene=dcm,0.00012164704603449463
gene=esiB_2,6.3880222281109726e-06
gene=dadD,0.0
gene=yhdJ,0.00022123736080104263
gene=rnd,5.950245899145306e-05
gene=dnaN,0.0006491650477085894
gene=sspB,2.14160115266803e-08
gene=relA,6.951291543850065e-05
gene=yehU,1.738491299919534e-05
gene=lexA_1,1.0311101316085962e-05
protein=PKHD-type hydroxylase,1.6877841940002245e-05
gene=mltF,0.0015030121000489778
gene=ptrA,0.0
gene=ywqF,2.1493589456681347e-06
gene=parB,0.00018708108379569967
gene=ecoRIIR,9.331024926992801e-05
gene=ubiG_2,3.0385286566581623e-05
gene=nadE,2.4546462521948525e-05
gene=klcA,9.512905069469693e-07
gene=rpfB,0.00035697892345645685
gene=mqnE,0.0
gene=hpf,8.990383204823453e-05
gene=lytB,0.00014170863164070927
gene=relG,1.1253932600651463e-05
gene=taqIM,5.389294811493403e-08
gene=oatA,0.00019899517797727985
gene=rimK,0.0001567370679356721
gene=adhc1,9.453707810337362e-06
gene=alkB,3.703502795108248e-05
gene=truA,6.062045521202588e-08
gene=exsA,0.0
gene=topA,3.0485674986987074e-05
gene=trxC,0.00023143936665862358
gene=thiF,2.908729771820788e-05
gene=btuD,0.0
gene=ycf3,1.2738364798214789e-08
gene=immR_3,6.217106717556138e-05
gene=polB_1,5.752211960725756e-06
gene=nrnA,3.0429876555582882e-09
gene=nrdG,0.00046405206243909335
gene=esiB_3,0.0
gene=helD,0.0
gene=elmMII,0.0
gene=blc,0.0
gene=nanS,0.00021565992381728479
gene=yvcJ,0.0
gene=viaA,1.47883311350206e-05
gene=gnd,0.0
gene=csn,4.439320509950982e-05
protein=Sialidase,3.57121365269163e-05
gene=agrB,8.80934319955298e-05
gene=fis,3.891245730714889e-05
gene=rtcB_2,0.0
gene=spoVT,1.7236503418726272e-06
gene=recE_2,0.0
gene=xre_2,2.0073281146825358e-07
gene=ubiE,2.0649930340712422e-05
gene=sbmC,1.1025827616639236e-05
gene=scoF,1.674071350752385e-05
gene=argR,6.136439152868959e-08
gene=pspE,0.0
gene=yjoB_2,0.0
gene=espR,3.0593264577331896e-05
gene=gghA,3.195640422208643e-09
gene=blaI,0.0004051560553519832
gene=purH_2,0.0
gene=degQ,0.00015506564576512033
gene=aguA,3.422843776385417e-08
gene=carH,3.2604216902875224e-08
gene=rpoB_2,3.101699983183015e-05
gene=noc_1,1.3745965972996814e-05
gene=rfbD,1.7681123714259366e-05
gene=metG,0.0
gene=cobT,5.355102203674392e-05
gene=astC,1.8414682957750154e-05
gene=pbsA1,4.911384620395889e-07
gene=envC,6.4994153589347e-06
protein=Ferredoxin--NADP reductase,1.4570012020367978e-05
gene=tadA_1,0.0
gene=lexA_2,1.7586549633920622e-05
gene=yfkN,2.720082001827848e-09
gene=hddC,0.0
gene=pelA_1,6.029619014881963e-08
gene=maa,3.8583426109137514e-08
gene=nrdB_3,0.0
gene=dksA,0.00011085563488118496
gene=xre,0.0005797052942194233
gene=pknB_3,4.0541410749049865e-06
gene=cwlK,0.00045181283380853085
gene=dnaK_1,1.4193092167985659e-05
gene=rusA_2,5.295199510730563e-08
gene=yjcD,1.425687903739217e-06
gene=rplL,6.3744408273058385e-06
gene=ymdB,6.544698068565212e-05
gene=fcl_1,1.7060890869054664e-09
gene=grcA,0.0003627794315921347
protein=Initiation-control protein YabA,4.8124552285224825e-05
gene=ligD,0.00018410598874248312
gene=mutT3,8.258874927816577e-07
gene=dut_2,0.0
gene=xynB,0.0
