gene,importance
gene=lppC_2,0.0003400927609275288
gene=trpG,0.00047419621464988426
gene=dinB1_3,0.003091557117441228
gene=xylH_2,0.0005023057352685023
gene=uspA_2,0.006361091373211204
gene=mcpQ,0.00020164804718898679
gene=xylB_4,0.0027603965116565483
gene=hsaD,0.006140289040632258
gene=pyrG_1,0.00020287463498683793
gene=rfbC,0.00024315021852438248
gene=licC_7,0.0005604482882531234
gene=csgA,0.0007834421811312293
gene=frlB_2,0.0010778517088773946
gene=nodM,0.0008101200236377699
gene=cyoB_2,0.0002277112301371905
gene=argE,0.0003079487182622002
gene=tetA_3,0.000886580281710785
gene=ttuD_2,0.0002632588467386732
gene=gsiC_5,0.001979795734694627
gene=klcA_1,0.003320680294487436
gene=higA1_1,0.00022208464885622192
gene=traD,0.00045146389800695616
protein=putative acyl-CoA dehydrogenase fadE25,0.004435123314147089
gene=betI,0.00031349755064421115
gene=sad,0.0002353611138800229
gene=hisM,0.0005577642946677532
gene=lacG_1,0.0003610180996936188
gene=lacZ,0.0013684432407792533
gene=glcR_3,0.0003419272432375268
gene=hypA_2,0.0003646594503264721
gene=rffH,0.0031439279912584593
gene=tus_2,0.00029285024720673185
gene=dksA_3,0.000213137674526498
protein=2-haloacrylate reductase,0.0002775421131770879
gene=dam_2,0.0007155854434136812
gene=rimI_3,0.0003569382504192092
gene=ppsE_1,0.0002302140044025644
gene=xerD_3,0.0007806370595272763
gene=hpaC_1,0.0004005357723191143
gene=parM_2,0.00034494552612610046
gene=aaeB_3,0.00033832740450414933
gene=yeaI,0.0007252449324315702
gene=uxaB_2,0.00028235261345373907
gene=alsE_2,0.003002363188289882
gene=mdaB_2,0.007116824370850105
gene=ylaB_2,0.00021733012702642007
gene=cysJ,0.00020143201639614237
gene=sfaH_1,0.0002056860768664291
gene=rbsA_6,0.0002244462201598725
gene=yhdN_7,0.00025429869511904405
protein=putative ABC transporter ATP-binding protein,0.00040040158078060985
gene=rstB_2,0.0006396373193632313
gene=garR_1,0.0005573461658942791
gene=ttdB,0.006502909780183544
gene=fucI_2,0.0003682137872480993
gene=ydfG_2,0.00044204407362295284
gene=atoE,0.0002966436254068936
gene=srlE_3,0.004945869849994389
gene=hsrA_3,0.004185287377101269
gene=acnA_1,0.0005549201221875175
gene=sorM,0.00029573114655146875
gene=vapC,0.0002616965913593935
gene=mrkD_2,0.0003306810158482825
protein=Putative tyrosine-protein kinase in cps region,0.0004456337146587359
gene=metC_3,0.00294169089880371
gene=garK_3,0.00026584946423362693
gene=arcA_1,0.003769995993085089
gene=bglB,0.005613026922608783
gene=dsbC_1,0.0014103562650573808
gene=lacY_5,0.0016276445234654653
gene=cvaA,0.003681974133425731
gene=fbaA_2,0.0002989310375709795
gene=yybR,0.0005572714311080418
gene=pksJ,0.0003436836785316077
gene=tufA_2,0.002499024667851357
gene=tus,0.00020175461866374969
gene=dinB1_5,0.00030536424681618123
gene=emrB,0.00039805501155157596
gene=crt_5,0.00021860517866146661
gene=gpFI_1,0.0015710521109375405
gene=afr_5,0.0005009330626062229
gene=elfD_2,0.0005702525190539562
gene=pucM,0.0026379257760197
gene=yraI_1,0.0004688014769129682
gene=dnaT_1,0.0008118433311981954
gene=sorC,0.0011167530786523447
gene=fruA_2,0.0003623797310235883
gene=barA_2,0.0026563878206052297
gene=argE_3,0.0003235560622855704
gene=grxA_2,0.0003586983062613402
gene=nemA_1,0.0007802911992829798
gene=rbsB_5,0.0007471135371286472
gene=lcfB,0.0021572302178513732
gene=topB_2,0.014752723289238063
gene=hcpA_3,0.003851166387440065
gene=tenA_2,0.0013762107171070976
gene=pyrC_1,0.0003138050719472845
gene=garK_1,0.00020562120700974104
gene=hpxO_2,0.005917816801144972
gene=ydaF_1,0.00033102446614442066
gene=lrp_3,0.00024065227150642783
gene=dinI,0.00020265871847694532
gene=iclR_1,0.0008006168985553238
gene=citA_1,0.00026891326599644635
gene=yjgH,0.0006107299680912586
gene=gmm,0.00496865177996394
gene=caiE_3,0.00031292965248276404
gene=ecpC_2,0.00022739804247668
gene=ssuA_3,0.0008379489871501321
gene=fucI_1,0.00039303455271373546
gene=hiuH_1,0.005850401861862571
gene=radD_2,0.0010378059562670613
gene=iutA_2,0.00029793597112116914
protein=Solute-binding protein,0.00021134326877419863
gene=sdcS_1,0.0026644846290722326
gene=citD,0.0014687291886122456
gene=ksdD_1,0.00022952524789627925
gene=comR_1,0.00030316736390283204
gene=rbsA_7,0.00051640299870287
gene=mrkD_3,0.0051199924057955285
gene=frlB_1,0.0003657301827899941
gene=rspR,0.001194017961087541
gene=pucR,0.001032743330772915
gene=stp_2,0.00032897857382967356
protein=Muramidase-2,0.003000161844552906
gene=gatC_2,0.000271005432550712
gene=rbsR_4,0.0008428183687376515
gene=hipA,0.0002462576921294748
gene=aroA,0.00031000010301012983
gene=erpA,0.00021178408260059286
gene=hsdS,0.0010771625831037
gene=iclR,0.0008446377095728947
gene=scrY_3,0.0019864919306000106
gene=pspB_3,0.0002216386886327209
gene=traA_1,0.0002639288848019518
"protein=2,6-dihydropseudooxynicotine hydrolase",0.000255609923863484
gene=yejK,0.0009802501433604572
gene=arlR,0.0005265264349299278
gene=nqrC,0.0003493981033139493
gene=fecA_1,0.0002634284995857846
gene=modA_2,0.0009610403354017293
gene=allD,0.003496861177985766
gene=bglB_1,0.02391370865334805
gene=allR,0.005583435382247791
gene=ssb_1,0.002864379642214614
gene=wzc,0.000815212745529578
gene=fadA_2,0.0002605835256827317
gene=gcdC,0.00034089197902577697
gene=kynB,0.0002034106544414456
gene=rsmE,0.00021953955614982537
protein=Outer membrane protein Omp38,0.0002736220741033508
gene=hyfA_3,0.0006881600716134138
gene=smc_1,0.003741848991711561
gene=oprD,0.0007181420591292571
gene=clpB_1,0.00030219356364391287
gene=iutA,0.0004884637346420712
gene=bglB_2,0.01182918206250764
gene=tolC_1,0.00025883345759770076
gene=frwD,0.004277938537116329
gene=intA_7,0.0008980321941569974
gene=tolC_2,0.001047945653360316
gene=lhyD,0.001164681321961542
gene=ltrA_4,0.0003706037776438875
gene=rrrD_2,0.0003270444124060122
gene=leuE,0.0005671901745834573
gene=btr_2,0.00036950186258144626
gene=dapA_4,0.00025954451750627346
gene=hisI_2,0.00036722875756248284
gene=gatC_1,0.0009441623950692877
