,gene,importance
0,gene=mshD,0.0007658463816762871
1,gene=pnuC,0.00134866437837579
2,gene=bag_1,0.0005002327519527866
3,gene=clpP,0.0013381015962585572
4,gene=spo0C,0.0011220779765805135
5,gene=xni,0.0003245684342142778
6,gene=nrdD,0.0025732804214455714
7,gene=grcA,0.0013669970154712799
8,gene=dnaN,0.0003024290116125212
9,gene=prtR,0.0007062188025829119
10,gene=dnaB,0.0023038219804869223
11,gene=clpP1,0.000267939795344399
12,gene=gyrA,0.0018324297669551019
13,gene=tmk,0.0006789440251122963
14,gene=torI,0.0006988168515014905
15,gene=ligA,0.0006661805961407833
16,gene=dpnM,0.0020242000177465914
17,gene=intS_1,0.00021190209211273246
18,gene=tdk,0.0021645244500892494
19,gene=grxC,0.001604875628550706
20,gene=cca,0.001296049506893216
21,gene=rrrD,0.007309255716824427
22,gene=ruvB,0.001987810794030509
23,gene=rpoC,0.0006802912206467929
24,gene=ruvC,0.0005756729176134147
25,gene=smc,0.0010367926705108794
26,gene=cobB,0.0015389049277714539
27,gene=ligA_1,0.0014365870069514613
28,gene=lig,0.0071703405057641015
29,gene=groL1,0.0007848198596563139
30,gene=rppH,0.0002852065132741165
31,gene=tadA,0.0019265179744418198
32,protein=Endoglucanase E1,0.0029665039602264145
33,gene=ltrA,0.0005622222687540105
34,gene=sigA,0.0005493071233391131
35,gene=polA_1,0.0022628203910326932
36,gene=aroC,0.00016407270790051866
37,gene=pphA,0.0022067856748173476
38,gene=radD,0.005254107288154088
39,gene=clpS,0.0002901926652640167
40,gene=ndx1,0.0013673355746405419
41,protein=PhoH-like protein,0.002372992984866923
42,gene=uvrC,0.0016151134121734304
43,gene=hhaIM,0.0033073294345348824
44,gene=recE,0.0001101088128850307
45,gene=recA,0.0014547371449981107
46,gene=polB,0.0019838149380932177
47,gene=ligA_2,0.0015668965315675666
48,protein=Bifunctional NMN adenylyltransferase/Nudix hydrolase,0.001383265052306274
49,gene=exoX,0.00043164020779390725
50,gene=sleB,0.0019664948222072303
51,gene=nrdB,0.0021880541946898494
52,gene=nrdA,0.002007360389702633
53,gene=emtA,0.0007526409275618278
54,gene=gyrB,0.0017271572939342359
55,gene=polA,0.008790109539137237
56,gene=nrdG,0.0017955767748164904
57,gene=rrrD_1,0.0008453644651739216
58,protein=putative DNA double-strand break repair Rad50 ATPase,0.003558470490598121
59,gene=ssb,0.0010616673864243871
60,gene=dnaG,0.001689144757323793
61,gene=intS,0.0008065728033108956
62,gene=cgkA,0.00040919398567865986
63,gene=bag,0.0047110217410513385
64,gene=thyX,0.0009927398562358382
65,gene=recD2,0.0015647595153683077
66,gene=folA,0.0017473850504029064
67,gene=hpaIIM,0.0003694802546909879
68,gene=groS,0.0002416538712225834
69,gene=dfrA,0.000982720852631003
70,gene=ybaQ,0.0007166768196877039
71,gene=grxA,0.0014527159776026126
72,gene=holE,0.0005322553928268339
73,gene=intS_2,0.00018339014076419093
74,gene=dut,0.001270189921032923
75,gene=infC,0.00040242893264781486
76,gene=rnhA,0.002682916788320855
77,gene=rrrD_2,0.0008449698678866185
78,gene=yjoB,0.0006975071130992398
79,gene=dnaX,0.0004813524833461914
80,gene=coaE,0.005078970167915682
81,gene=prs,0.001174642635377589
82,protein=TelA-like protein,0.0003346285509559341
83,gene=nadR,0.0009734321566461006
84,gene=bag_2,0.0003807916747983744
85,gene=fokIM,0.0025045029175645456
86,gene=relA,0.0010084173858561807
87,gene=clpA,0.00036981093867711546
88,gene=hslU,0.0006044861732648605
89,gene=polA_2,0.0019644635774767826
90,gene=pcnB,0.009811573187519237
91,gene=mltF,0.0005937017458409373
92,gene=nucA,0.00045829938780784797
93,gene=mutT3,0.00031006094535783745
94,gene=thyA,0.0031203145532813794
95,gene=csgD_1,0.0
96,gene=narG_2,2.1230274893627325e-06
97,gene=pstC1,0.0
98,gene=cyoD_1,0.0
99,gene=tsaA,0.0
100,gene=wecC,0.0
101,gene=bluF_1,0.0
102,gene=dapL_1,0.0
103,gene=ulaF_2,0.0
104,gene=gmhB,1.2318671232987232e-05
105,gene=besA,0.0
106,gene=addA,2.1324955550117823e-05
107,gene=ivy,9.239003424740425e-06
108,protein=NADH oxidase,0.0
109,gene=thlA_3,2.6873878420912963e-09
110,gene=lpfB_1,3.8078775142553956e-06
111,gene=qacA,2.6989501886800824e-06
112,gene=yphA_1,0.0
113,gene=mglC,0.0
114,gene=trmA,0.0
115,gene=trmD,0.0
116,gene=cspA_5,0.0
117,gene=cbiA_1,0.0
118,gene=ydfZ,0.0
119,gene=parC_1,0.0
120,gene=fdnG_3,0.0
121,gene=fimC_3,0.00014189491729583168
122,gene=thiF_1,5.120398505659759e-06
123,gene=pgpC,0.0
124,gene=liaR,0.0
125,gene=yclQ_1,0.0
126,gene=fdnI,0.0
127,gene=cspD_1,0.0
128,gene=rtxA,0.0
129,gene=rhlB_1,0.0
130,gene=merP_1,7.420817325516165e-06
131,gene=aroF_3,0.0
132,gene=dtpT_1,0.0
133,gene=ygfA,0.0
134,gene=uao_2,0.0
135,gene=oatA_2,0.0
136,gene=paaK,9.104957984092888e-05
137,gene=nimT,7.705706578714571e-05
138,gene=betI_5,0.0
139,gene=nhaB_1,0.0
140,gene=dhbE_2,0.0
141,gene=queG_2,0.0
142,gene=dcuR,0.0
143,gene=yceD_6,3.0842444168688016e-05
144,gene=pglA_2,0.0
145,gene=truA_1,0.0
146,gene=lppC_2,0.0003400927609275288
147,gene=yejE,0.0
148,gene=ftsN_2,0.0
149,gene=ctaG,0.0
150,gene=pth_1,0.0
151,gene=gcvA_6,7.04787685638271e-06
152,gene=mlaF_2,0.0
153,gene=tuaH_1,0.0
154,gene=topB,3.86672488219885e-06
155,gene=paaB,0.0
156,gene=sir_2,0.0
157,gene=mfpsA_1,5.016684087409528e-07
158,gene=phnK_2,0.0
159,gene=phoA_3,0.0
160,gene=panS_3,0.0
161,gene=metN2_2,0.0
162,gene=dnaA_2,0.0
163,gene=mtnA_2,0.0
164,gene=otsB,0.0
165,gene=fabG_17,0.0
166,gene=rluF,2.2417024467473214e-07
167,gene=mymA,0.0
168,gene=cobU,0.0
169,gene=yehU_1,0.0
170,gene=polB_1,0.0
171,gene=pta_1,0.0
172,gene=glpA_2,0.0
173,gene=mcpQ_2,0.0
174,gene=vibB,0.0
175,gene=ibaG_2,0.0
176,gene=ygbM,0.0
177,gene=zntB_2,0.0
178,gene=nqrB,0.0
179,gene=znuC,0.0
180,gene=cpoA,1.5807734561368969e-06
181,gene=vapB_2,2.939736338789499e-05
182,gene=rpsA_2,0.0
183,gene=aaeX,0.0
184,gene=dhaR_2,5.196707803101986e-06
185,gene=trpG,0.00047419621464988426
186,gene=argE_1,0.0001598825824823761
187,gene=rutR_4,0.0
188,gene=ubiB_4,0.0
189,gene=cheR2_2,0.0
190,gene=dinB1_3,0.0030915571174412277
191,gene=curA_2,0.0
