,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
C15,3125.234604,774.8296601,433.3033986,12.1192585,35187.92047,0,0.073923029,0.104981675,0.071176927,0.111152524,0.056631828,0.038272946,0.045372663,0.057130149,0.051515055,0.026665461,0.04528226,0.033230672,0.055330721,0.050277654,0.015883844,0.023575853,0.060018045,0.039677146,0.028194616,0.011706932,1574.978167,30432,8165,4390,123,348835.5121,0,0.229508197,0.337868481,0.290322581,0.326086957,0.205128205,0.211382114,0.179591837,0.29439941,0.159090909,0.111111111,0.235849057,0.150943396,0.203125,0.279292557,0.086206897,0.115384615,0.245614035,0.218181818,0.136363636,0.12,15465,296,64,34,1,3005.6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002710027,0,136,1950.737228,497.7251956,273.1895341,7.969146856,22133.5343,0,0.023698023,0.030862268,0.021404375,0.033498929,0.021563231,0.018107846,0.017697193,0.019103862,0.017263599,0.013965218,0.020048536,0.015962184,0.024687076,0.02044741,0.011900089,0.013313737,0.023577518,0.023412698,0.012885007,0.010524329,985.6410463,2838,696,392,11,32000.1271,0,0.073426573,0.103671706,0.07,0.108374384,0.054380665,0.035842294,0.044642857,0.055441478,0.050377834,0.025188917,0.043539326,0.031578947,0.055555556,0.051359517,0.013953488,0.022058824,0.059125964,0.035573123,0.026455026,0.010033445,1431,3805375.732,247730.3704,74632.52154,63.50730161,489893340.4,0,0.000561596,0.00095248,0.000458147,0.001122178,0.000464973,0.000327894,0.000313191,0.000364958,0.000298032,0.000195027,0.000401944,0.000254791,0.000609452,0.000418097,0.000141612,0.000177256,0.000555899,0.000548154,0.000166023,0.000110761,971488.2722
C16,3128.25153,775.3569595,433.9087858,12.15932873,35223.12668,0,0.073939196,0.10419126,0.070940508,0.111047314,0.056790636,0.038255309,0.045372504,0.057342473,0.051451699,0.026865021,0.045261692,0.033327136,0.055443126,0.050140867,0.015824476,0.023497813,0.059962977,0.040146248,0.028301557,0.011898186,1576.514116,39537,10748,5611,121,450474.2427,0,0.229508197,0.37037037,0.290322581,0.326086957,0.183673469,0.211382114,0.175510204,0.178861789,0.155080214,0.111111111,0.235849057,0.150943396,0.203125,0.180327869,0.085714286,0.111111111,0.235294118,0.218181818,0.105263158,0.12,19503,292,64,34,1,3005.6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,136,2094.830677,530.3609147,294.4335616,8.317234592,23734.07681,0,0.023662837,0.031207323,0.021537963,0.033695458,0.021688361,0.018195535,0.017604023,0.01912048,0.017298815,0.014052778,0.020212335,0.015992259,0.024771512,0.019990908,0.0118745,0.013342695,0.023451229,0.023732724,0.013029398,0.01072483,1057.531986,2825,692,389,10,31803.176,0,0.073333333,0.103125,0.069767442,0.107936508,0.054585153,0.035587189,0.044843049,0.055684455,0.05027933,0.025252525,0.043624161,0.03164557,0.055813953,0.051428571,0.013931889,0.022058824,0.058947368,0.035856574,0.026515152,0.01010101,1424,4388315.566,281282.6998,86691.12218,69.17639126,563306402.2,0,0.00055993,0.000973897,0.000463884,0.001135384,0.000470385,0.000331077,0.000309902,0.000365593,0.000299249,0.000197481,0.000408539,0.000255752,0.000613628,0.000399636,0.000141004,0.000178028,0.00054996,0.000563242,0.000169765,0.000115022,1118373.902
C17,3118.416649,772.4168594,432.1938196,12.08745007,35103.89977,0,0.073798895,0.104432021,0.071290254,0.111357844,0.056705225,0.038397269,0.045377594,0.056849255,0.051404336,0.026797279,0.045301051,0.033182662,0.055655708,0.050180623,0.015894704,0.023490373,0.05968284,0.040261713,0.028269607,0.011670748,1571.81564,30443,7745,4391,121,348740.4558,0,0.229508197,0.353448276,0.290322581,0.326086957,0.236842105,0.211382114,0.175510204,0.178861789,0.167664671,0.121212121,0.235849057,0.150943396,0.203125,0.173913043,0.086206897,0.127090301,0.235294118,0.218181818,0.137931034,0.12,15463,294,64,34,1,3005.6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,136,1956.650185,492.4292762,274.5554839,8.016244029,22145.82118,0,0.02407342,0.03101049,0.021458083,0.033563579,0.021933978,0.018213618,0.017527446,0.018940327,0.017321838,0.014215016,0.020124576,0.016044269,0.024763906,0.02014452,0.011940098,0.013395942,0.023551736,0.024096058,0.012896997,0.010727114,989.1101769,2835,694,389,10,31875.2816,0,0.073333333,0.103448276,0.070140281,0.108504399,0.054298643,0.035714286,0.044897959,0.05511811,0.050314465,0.025210084,0.043859649,0.031620553,0.055793991,0.051401869,0.013975155,0.021978022,0.058823529,0.035714286,0.026666667,0.009950249,1427,3828479.946,242486.592,75380.71375,64.26016833,490437395.9,0,0.00057953,0.000961651,0.000460449,0.001126514,0.000481099,0.000331736,0.000307211,0.000358736,0.000300046,0.000202067,0.000404999,0.000257419,0.000613251,0.000405802,0.000142566,0.000179451,0.000554684,0.00058062,0.000166333,0.000115071,978338.942
C18,3136.374622,777.3425982,434.9736153,12.18690836,35312.43748,0,0.074097127,0.104549957,0.07104412,0.111205546,0.056688854,0.038318024,0.045392279,0.057104727,0.051479992,0.026760128,0.045328285,0.033189856,0.055354546,0.050116557,0.015827388,0.02347889,0.059916908,0.039975226,0.028314011,0.01185758,1580.597382,39536,10749,5610,121,450475.2275,0,0.229508197,0.37037037,0.290322581,0.326086957,0.183673469,0.211382114,0.175510204,0.178861789,0.155080214,0.111111111,0.235849057,0.150943396,0.203125,0.180327869,0.085714286,0.111111111,0.235294118,0.218181818,0.105263158,0.12,19503,294,64,34,1,3005.6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,136,2100.456368,531.8266772,295.2622742,8.349642237,23800.64671,0,0.023713742,0.031008203,0.02155573,0.033811643,0.021637428,0.018278988,0.017676204,0.019044604,0.017359569,0.014003577,0.020184263,0.015862141,0.02478239,0.019994315,0.011877944,0.013339666,0.02345417,0.023739356,0.013012169,0.010751776,1060.464139,2837,695,390,10,31910.9454,0,0.073563218,0.103448276,0.06993007,0.108108108,0.054404145,0.035608309,0.044843049,0.055555556,0.05027933,0.025210084,0.043715847,0.031553398,0.055769231,0.051282051,0.013944223,0.022038567,0.058951965,0.035714286,0.026548673,0.01010101,1427,4411916.954,282839.6145,87179.81058,69.71652549,566470783.8,0,0.000562342,0.000961509,0.000464649,0.001143227,0.000468178,0.000334121,0.000312448,0.000362697,0.000301355,0.0001961,0.000407404,0.000251608,0.000614167,0.000399773,0.000141086,0.000177947,0.000550098,0.000563557,0.000169317,0.000115601,1124584.191
C19,3151.071501,780.8133252,436.9739996,12.24619135,35473.84496,0,0.074165125,0.104702487,0.071054304,0.111431319,0.056691753,0.03831906,0.045501463,0.057074615,0.051444513,0.026691104,0.045408575,0.033050917,0.055258402,0.050049878,0.015825477,0.023512426,0.059898519,0.03979917,0.028297964,0.01182293,1587.915702,39536,10749,5610,121,450475.2275,0,0.229508197,0.37037037,0.290322581,0.326086957,0.183673469,0.211382114,0.175510204,0.178861789,0.155080214,0.111111111,0.235849057,0.150943396,0.203125,0.180327869,0.085714286,0.111111111,0.235294118,0.218181818,0.105263158,0.12,19503,294,64,34,1,3005.6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,136,2095.279102,530.4637341,294.5892987,8.344497288,23742.17906,0,0.023661672,0.030813232,0.02146799,0.033717774,0.021657059,0.018259983,0.017571716,0.018957265,0.017164203,0.013956101,0.020114174,0.015751154,0.024665354,0.019903265,0.011872626,0.013263569,0.023250653,0.023562113,0.012970217,0.010639872,1057.836326,2855,700,392,11,32069.1808,0,0.073619632,0.103636364,0.070038911,0.108433735,0.054393305,0.035587189,0.04495614,0.055456172,0.05027933,0.025188917,0.043859649,0.031446541,0.055737705,0.051282051,0.013916501,0.022088353,0.05899705,0.03566879,0.026525199,0.01010101,1433,4390194.513,281391.7732,86782.8549,69.630635,563691066.6,0,0.000559875,0.000949455,0.000460875,0.001136888,0.000469028,0.000333427,0.000308765,0.000359378,0.00029461,0.000194773,0.00040458,0.000248099,0.00060838,0.00039614,0.000140959,0.000175922,0.000540593,0.000555173,0.000168227,0.000113207,1119017.692
C1,3027.576814,751.136852,419.93082,11.80150801,34101.32324,0,0.073408898,0.103539019,0.071106631,0.109670841,0.056635517,0.038252437,0.044838634,0.057587852,0.051742147,0.026997405,0.044729094,0.03353635,0.056345969,0.050612176,0.015781512,0.02309107,0.06023648,0.041435633,0.028633176,0.011819159,1525.599623,38081,10359,5355,123,434805.4395,0,0.229508197,0.37037037,0.290322581,0.326086957,0.208695652,0.211382114,0.179591837,0.18699187,0.179487179,0.111111111,0.235849057,0.150943396,0.203125,0.180327869,0.085714286,0.112627986,0.24,0.218181818,0.133333333,0.12,18849,296,64,34,1,3005.6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002710027,0,136,1999.401174,506.9079099,280.5563967,7.993541077,22650.04307,0,0.024318999,0.031414958,0.021958262,0.033796223,0.022054906,0.018371656,0.017845642,0.019568015,0.017777752,0.014378531,0.020170629,0.016264855,0.025290603,0.02032216,0.011986125,0.013500699,0.024039211,0.024407511,0.013323837,0.010825343,1009.105193,2718,670,375,10,30586.8534,0,0.072961373,0.102389078,0.069868996,0.106870229,0.054263566,0.035714286,0.044368601,0.055900621,0.050445104,0.025316456,0.042944785,0.031847134,0.056451613,0.051903114,0.013888889,0.021472393,0.059139785,0.036866359,0.026865672,0.010033445,1370,3997605.054,256955.6292,78711.89173,63.89669895,513024451.2,0,0.000591414,0.0009869,0.000482165,0.001142185,0.000486419,0.000337518,0.000318467,0.000382907,0.000316048,0.000206742,0.000406854,0.000264546,0.000639615,0.00041299,0.000143667,0.000182269,0.000577884,0.000595727,0.000177525,0.000117188,1018293.29
C20,3169.310027,784.8369269,439.4628428,12.31442328,35673.56815,0,0.074255791,0.104890685,0.071247538,0.111889857,0.056553139,0.038337191,0.045622072,0.05687835,0.051420309,0.026666842,0.045434301,0.032955058,0.055041104,0.049963274,0.015834144,0.023593709,0.05993588,0.039521502,0.028239084,0.011720169,1597.252041,31117,7863,4392,121,352619.0902,0,0.208791209,0.37037037,0.290322581,0.326086957,0.183673469,0.211382114,0.175510204,0.178861789,0.155080214,0.111111111,0.235849057,0.150943396,0.203125,0.180327869,0.085714286,0.111111111,0.245614035,0.218181818,0.105263158,0.111111111,15679,294,64,34,1,3005.6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,136,2031.466741,511.1053921,285.4557666,8.338125237,23008.25046,0,0.023461385,0.030685536,0.02128572,0.03352614,0.021518141,0.018108938,0.017488927,0.018678435,0.01697163,0.013965412,0.020013025,0.015642982,0.024404831,0.019880591,0.011865339,0.013221217,0.023287372,0.023484301,0.012843788,0.010441486,1027.375425,2880,706,396,11,32281.392,0,0.073643411,0.103896104,0.070175439,0.108829569,0.054263566,0.035608309,0.045064378,0.055248619,0.05027933,0.025171625,0.043859649,0.031413613,0.055555556,0.051282051,0.013888889,0.022151899,0.059027778,0.035340314,0.026515152,0.010067114,1447,4126857.121,261228.7218,81484.99469,69.52433248,529379589.2,0,0.000550437,0.000941602,0.000453082,0.001124002,0.00046303,0.000327934,0.000305863,0.000348884,0.000288036,0.000195033,0.000400521,0.000244703,0.000595596,0.000395238,0.000140786,0.000174801,0.000542302,0.000551512,0.000164963,0.000109025,1055500.265
C21,3110.218276,770.6407061,431.5075805,12.06708204,35010.98663,0,0.07431908,0.105161319,0.071123986,0.111284525,0.05635647,0.03825832,0.045559094,0.056854257,0.051534093,0.026533,0.045382545,0.032913945,0.055257425,0.050129069,0.015892215,0.02348788,0.060133982,0.039766642,0.028305641,0.011746513,1567.017861,39529,10747,5609,65,450404.1496,0,0.229508197,0.37037037,0.290322581,0.326086957,0.183673469,0.211382114,0.175510204,0.178861789,0.155080214,0.111111111,0.235849057,0.150943396,0.203125,0.180327869,0.085714286,0.111111111,0.235294118,0.218181818,0.105263158,0.12,19500,294,64,34,1,3005.6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,136,1970.615737,499.0921928,276.723718,7.8549061,22306.44053,0,0.023816,0.030612086,0.021611401,0.033822685,0.021417048,0.018208813,0.017623255,0.01894091,0.017332221,0.013900941,0.020179118,0.015630211,0.024788572,0.019996786,0.011961863,0.01334926,0.023494225,0.023489774,0.012973244,0.010704479,993.8438428,2825,692,388,10,31803.176,0,0.073891626,0.103896104,0.07,0.108280255,0.054104478,0.035578145,0.04494382,0.055084746,0.05027933,0.025125628,0.043668122,0.031358885,0.055634807,0.051369863,0.013931889,0.022012579,0.059055118,0.035714286,0.026515152,0.01,1422,3883326.382,249093.0169,76576.01609,61.69954984,497577289,0,0.000567202,0.0009371,0.000467053,0.001143974,0.00045869,0.000331561,0.000310579,0.000358758,0.000300406,0.000193236,0.000407197,0.000244304,0.000614473,0.000399871,0.000143086,0.000178203,0.000551979,0.000551769,0.000168305,0.000114586,987725.5839
C22,3170.475582,785.1716621,439.6594005,12.31901069,35687.4292,0,0.074294723,0.104936816,0.071259347,0.111880996,0.056483849,0.038294493,0.04564793,0.056831873,0.051395654,0.026671968,0.045474312,0.032966324,0.055093882,0.049959291,0.015828471,0.023603504,0.059951444,0.039481743,0.028238157,0.011705223,1597.817019,31117,7863,4392,121,352619.0902,0,0.208791209,0.37037037,0.290322581,0.326086957,0.183673469,0.211382114,0.175510204,0.178861789,0.155080214,0.111111111,0.235849057,0.150943396,0.203125,0.180327869,0.085714286,0.111111111,0.235294118,0.218181818,0.105263158,0.111111111,15679,294,64,34,1,3005.6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,136,2032.281332,511.3132734,285.5724436,8.343074292,23017.36929,0,0.023455653,0.030667567,0.021299526,0.03349082,0.021480452,0.018031989,0.017459086,0.018656534,0.016981538,0.013969298,0.020007812,0.015649904,0.024396058,0.019872451,0.011863685,0.013228411,0.023211283,0.023432231,0.012830145,0.01043658,1027.765107,2880,707,397,11,32279.2526,0,0.073660714,0.103773585,0.070175439,0.108823529,0.054187192,0.035598706,0.045092838,0.055214724,0.05026455,0.025157233,0.043912176,0.031413613,0.055555556,0.051236749,0.013888889,0.022160665,0.059055118,0.035294118,0.026515152,0.010050251,1447,4130167.411,261441.2636,81551.62053,69.60688865,529799288.8,0,0.000550168,0.0009405,0.00045367,0.001121635,0.00046141,0.000325153,0.00030482,0.000348066,0.000288373,0.000195141,0.000400313,0.000244919,0.000595168,0.000394914,0.000140747,0.000174991,0.000538764,0.000549069,0.000164613,0.000108922,1056301.116
C23,3141.090324,778.4317039,435.6383022,12.21746128,35364.30892,0,0.074139855,0.104529905,0.071045001,0.111286345,0.056637185,0.038219818,0.045478814,0.057115388,0.051540121,0.026737285,0.045392011,0.033128937,0.055333774,0.050111166,0.015813594,0.023479989,0.059940629,0.039866681,0.0283395,0.011864005,1582.895997,39539,10749,5609,121,450524.2981,0,0.229508197,0.37037037,0.290322581,0.326086957,0.183673469,0.211382114,0.175510204,0.178861789,0.155080214,0.113924051,0.235849057,0.150943396,0.203125,0.180327869,0.085714286,0.111111111,0.235294118,0.218181818,0.105263158,0.164556962,19508,292,64,34,1,3005.6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,136,2092.579189,529.616563,294.2056196,8.334800809,23710.22,0,0.023710513,0.030872618,0.021550704,0.033686002,0.021638833,0.018215403,0.017586664,0.018971945,0.01728399,0.014027189,0.020113104,0.0158241,0.024685349,0.019950641,0.01187109,0.013322985,0.023286762,0.023547391,0.013020531,0.010901959,1056.516098,2850,698,391,11,32040.7726,0,0.073593074,0.103448276,0.069958848,0.108333333,0.054347826,0.035573123,0.044925125,0.055555556,0.050314465,0.025210084,0.04379562,0.031496063,0.055776892,0.051369863,0.013888889,0.022,0.059006211,0.035714286,0.026548673,0.01010101,1431,4378887.663,280493.7038,86556.94662,69.46890452,562174532.3,0,0.000562188,0.000953119,0.000464433,0.001134747,0.000468239,0.000331801,0.000309291,0.000359935,0.000298736,0.000196762,0.000404537,0.000250402,0.000609366,0.000398028,0.000140923,0.000177502,0.000542273,0.00055448,0.000169534,0.000118853,1116226.266
