gene_id	ko	pathway
gene=ndoAI	ko03000	Transcription factors [BR:ko03000]
gene=ndoAI	ko02048	Prokaryotic defense system [BR:ko02048]
gene=mntP_4	ko02000	Transporters [BR:ko02000]
gene=asd2	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=asd2	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=asd2	ko00300	Lysine biosynthesis [PATH:ko00300]
gene=asd2	ko00261	Monobactam biosynthesis [PATH:ko00261]
gene=nuoL	ko00190	Oxidative phosphorylation [PATH:ko00190]
gene=ywlC	ko03009	Ribosome biogenesis [BR:ko03009]
gene=ywlC	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=yhdE	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=bamA_1	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=bamA_1	ko02000	Transporters [BR:ko02000]
gene=xpsD	ko03070	Bacterial secretion system [PATH:ko03070]
gene=xpsD	ko05111	Biofilm formation - Vibrio cholerae [PATH:ko05111]
gene=xpsD	ko02044	Secretion system [BR:ko02044]
gene=mdaB_2	99980	Enzymes with EC numbers
gene=sugA_4	ko02000	Transporters [BR:ko02000]
gene=vgrG1_7	ko03070	Bacterial secretion system [PATH:ko03070]
gene=vgrG1_7	ko02044	Secretion system [BR:ko02044]
gene=mntR	ko03000	Transcription factors [BR:ko03000]
gene=frwD	ko02000	Transporters [BR:ko02000]
gene=mazE	ko02048	Prokaryotic defense system [BR:ko02048]
gene=camA_1	ko00053	Ascorbate and aldarate metabolism [PATH:ko00053]
protein=Cytochrome	ko00199	Cytochrome P450 [BR:ko00199]
gene=mboIIM_1	ko02048	Prokaryotic defense system [BR:ko02048]
gene=bglF_2	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=bglF_2	ko02060	Phosphotransferase system (PTS) [PATH:ko02060]
gene=bglF_2	ko02000	Transporters [BR:ko02000]
gene=yhaM_1	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=rpoA_1	ko00230	Purine metabolism [PATH:ko00230]
gene=rpoA_1	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=ltxD_1	ko03070	Bacterial secretion system [PATH:ko03070]
gene=ltxD_1	ko05133	Pertussis [PATH:ko05133]
gene=ltxD_1	ko02000	Transporters [BR:ko02000]
gene=ltxD_1	ko02044	Secretion system [BR:ko02044]
gene=cysW_1	ko02024	Quorum sensing [PATH:ko02024]
gene=cysW_1	ko02000	Transporters [BR:ko02000]
gene=pyrR_1	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=pyrR_1	ko03000	Transcription factors [BR:ko03000]
gene=drrA_7	ko02000	Transporters [BR:ko02000]
gene=yhjE_14	ko02000	Transporters [BR:ko02000]
gene=gbsB	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=yjjG_3	99996	General function prediction only
gene=paaZ	ko00360	Phenylalanine metabolism [PATH:ko00360]
gene=eutC_3	ko00564	Glycerophospholipid metabolism [PATH:ko00564]
gene=hlyB	ko02010	ABC transporters [PATH:ko02010]
gene=hlyB	ko03070	Bacterial secretion system [PATH:ko03070]
gene=hlyB	ko05133	Pertussis [PATH:ko05133]
gene=hlyB	ko02000	Transporters [BR:ko02000]
gene=hlyB	ko02044	Secretion system [BR:ko02044]
gene=ihfA_2	ko03032	DNA replication proteins [BR:ko03032]
gene=ihfA_2	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=ihfA_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=tme	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=tme	ko00710	Carbon fixation in photosynthetic organisms [PATH:ko00710]
gene=tme	ko03320	PPAR signaling pathway [PATH:ko03320]
gene=wzxC	ko02000	Transporters [BR:ko02000]
gene=groL_3	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=mnhA1	ko02000	Transporters [BR:ko02000]
gene=lasR	ko02024	Quorum sensing [PATH:ko02024]
gene=lasR	ko02025	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]
gene=lasR	ko03000	Transcription factors [BR:ko03000]
gene=lasR	ko01504	Antimicrobial resistance genes [BR:ko01504]
gene=yokJ	ko02048	Prokaryotic defense system [BR:ko02048]
gene=rocF_2	ko00220	Arginine biosynthesis [PATH:ko00220]
gene=rocF_2	ko00330	Arginine and proline metabolism [PATH:ko00330]
