gene,importance
gene=bmr3_2,5.9643729955778175e-06
gene=carA,2.9024796675541223e-05
gene=bmaC_3,0.0
gene=ksgA,6.245948129012597e-07
protein=Polysaccharide lyase,0.0
gene=hdc,0.0
gene=yknW,0.0
gene=dapF_1,0.0
gene=mltG_1,0.0
gene=thyX,4.742570595253608e-06
gene=sat_2,0.0
gene=rimO_2,0.0
gene=argJ_2,4.202282380938432e-06
gene=oprF,2.1293942775913188e-07
gene=yhdT,0.0
gene=prfB_2,0.0
gene=lutR_4,0.0
"protein=Glucan 1,4-alpha-maltohexaosidase",0.0
gene=rpiR,9.837416961042796e-05
gene=yhaI_2,0.0002925714446824002
gene=papA2_1,0.0
gene=pel3,0.0
gene=leuC1_1,0.0
gene=mcpC,2.8423872804771998e-05
gene=dsvC,3.66335126650133e-05
gene=teaD_1,0.00012108274694833709
gene=pdxT_2,0.0
gene=nphA1_2,0.0
gene=fdhD_1,4.3016964316779644e-06
gene=cphB_2,0.0
gene=sipD,0.0
gene=panB_3,0.0
protein=Antitoxin VapB27,0.0
gene=cysL_1,9.509871894006277e-06
gene=arcB,6.704429754087264e-05
gene=manP_4,7.696934838711026e-05
gene=sipT_2,0.0
gene=artJ_1,2.5062986750786894e-06
gene=ybiT_3,2.123780662614917e-06
gene=tnsA,0.0
gene=adc_1,0.0
gene=oppC_2,0.0
gene=mrnC_2,0.0
gene=mshC,3.781308870055995e-07
gene=ptlF_1,0.0
gene=argG_3,0.0
gene=adaA_14,0.0
gene=dppA,1.2969563721242889e-05
gene=bepA_6,0.0
gene=lrp_14,0.0
gene=tfdR,2.974259353043222e-06
gene=cydB_4,0.0
gene=leuA_3,0.0
gene=naaA_2,0.0
gene=bmr3_11,0.0
gene=dlaT,0.0
gene=groS,1.633755816377304e-05
gene=ypmQ_2,0.0
gene=flhB_1,2.827983101879954e-07
gene=rbsB_9,0.0
gene=cadC_4,0.0
gene=lgrB_7,0.0
gene=nqrF_1,0.0
gene=aspS1_2,0.0
gene=mmpL4_10,0.0
gene=opuBD,0.0
gene=torS_3,0.0
gene=walK_7,0.0
gene=apc1,1.3886536616448761e-05
gene=nfdA_4,6.089115893833137e-05
gene=pbsA1,0.0
gene=tynA,7.931252938296155e-06
gene=hokB_8,0.0
gene=basR_3,0.0
gene=yhcR_4,1.4232048784469925e-05
gene=cah,2.7681276472855224e-05
gene=astA_1,0.0
gene=cobS_2,6.6425479057535e-06
gene=nuc_1,0.0
gene=csoR_3,0.0
gene=ycaM_5,0.0
gene=nqo5_1,0.0
gene=wapI_2,0.0
gene=garL_1,0.0
gene=fdm,0.0
gene=lcfB_5,0.0
gene=lpdC_2,0.0
gene=asrA_1,0.0
gene=bglF_2,0.0
gene=citG_3,0.0
gene=fdhL,1.2992403813712473e-05
gene=ulaC_2,0.00021113155264603227
gene=xerD_5,0.0
gene=pgcA_3,2.7628666895654772e-05
gene=kstD_3,0.0
gene=aglB_3,0.0
protein=8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase,0.0
gene=afsR_2,0.0
gene=cwlH_1,1.2578018548305728e-05
protein=Invasin,4.123666842726379e-05
gene=ramA,5.090680504462815e-05
gene=mcpU_4,0.0
gene=capA_2,0.0
gene=mexR_2,0.0
gene=bfmBAA_2,0.0
gene=echA8_6,0.0
gene=rutB,0.0009723829991763453
gene=liaR,1.4275540504113583e-05
gene=flhC_1,4.541539963134332e-06
gene=yfcP_4,0.0
protein=Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,0.0
gene=gmm_2,0.0
gene=spo0F_7,0.0
gene=bmr3_13,0.0
gene=eriC,9.858142469533127e-08
