gene_id	ko	pathway
gene=nrdD_1	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdD_1	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=pncB2	ko00760	Nicotinate and nicotinamide metabolism [PATH:ko00760]
gene=rpoB_3	ko03020	RNA polymerase [PATH:ko03020]
gene=rpoB_3	ko05016	Huntington disease [PATH:ko05016]
gene=rpoB_3	ko03021	Transcription machinery [BR:ko03021]
gene=rpoB_3	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=nucS	99980	Enzymes with EC numbers
gene=yceC	99995	Signaling proteins
gene=nanM	ko04120	Ubiquitin mediated proteolysis [PATH:ko04120]
gene=nanM	ko05200	Pathways in cancer [PATH:ko05200]
gene=nanM	ko05208	Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]
gene=nanM	ko05225	Hepatocellular carcinoma [PATH:ko05225]
gene=nanM	ko05012	Parkinson disease [PATH:ko05012]
gene=nanM	ko05418	Fluid shear stress and atherosclerosis [PATH:ko05418]
gene=nanM	ko04121	Ubiquitin system [BR:ko04121]
gene=pknB_3	ko04013	MAPK signaling pathway - fly [PATH:ko04013]
gene=pknB_3	ko04361	Axon regeneration [PATH:ko04361]
gene=pknB_3	ko01001	Protein kinases [BR:ko01001]
gene=glyA	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=glyA	ko00680	Methane metabolism [PATH:ko00680]
gene=glyA	ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]
gene=glyA	ko00460	Cyanoamino acid metabolism [PATH:ko00460]
gene=glyA	ko00670	One carbon pool by folate [PATH:ko00670]
gene=glyA	ko01523	Antifolate resistance [PATH:ko01523]
gene=alx	99994	Others
gene=cshA	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=cshA	ko03012	Translation factors [BR:ko03012]
gene=cshA	ko04147	Exosome [BR:ko04147]
gene=adhc1	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=adhc1	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=adhc1	ko00561	Glycerolipid metabolism [PATH:ko00561]
gene=tobZ_2	99980	Enzymes with EC numbers
gene=oleD	ko00040	Pentose and glucuronate interconversions [PATH:ko00040]
gene=oleD	ko00053	Ascorbate and aldarate metabolism [PATH:ko00053]
gene=oleD	ko00140	Steroid hormone biosynthesis [PATH:ko00140]
gene=oleD	ko00830	Retinol metabolism [PATH:ko00830]
gene=oleD	ko00860	Porphyrin metabolism [PATH:ko00860]
gene=oleD	ko00980	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]
gene=oleD	ko00982	Drug metabolism - cytochrome P450 [PATH:ko00982]
gene=oleD	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
gene=oleD	ko04976	Bile secretion [PATH:ko04976]
gene=oleD	ko05204	Chemical carcinogenesis - DNA adducts [PATH:ko05204]
gene=oleD	ko05207	Chemical carcinogenesis - receptor activation [PATH:ko05207]
gene=oleD	ko01003	Glycosyltransferases [BR:ko01003]
gene=pbsA1	ko00860	Porphyrin metabolism [PATH:ko00860]
gene=kdsD	ko00540	Lipopolysaccharide biosynthesis [PATH:ko00540]
gene=kdsD	ko01005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]
protein=Bifunctional	ko00199	Cytochrome P450 [BR:ko00199]
gene=higB-1	ko02048	Prokaryotic defense system [BR:ko02048]
gene=fucT	ko01003	Glycosyltransferases [BR:ko01003]
gene=nrdG	99980	Enzymes with EC numbers
gene=hldE_2	ko00540	Lipopolysaccharide biosynthesis [PATH:ko00540]
gene=hldE_2	ko01005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]
gene=tadA	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=tadA	ko02044	Secretion system [BR:ko02044]
gene=lpp	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=queE_4	ko00790	Folate biosynthesis [PATH:ko00790]
gene=queE_4	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=msrAB	99980	Enzymes with EC numbers
gene=nrdF_1	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdF_1	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=nrdF_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=uppS	ko00550	Peptidoglycan biosynthesis [PATH:ko00550]
gene=uppS	ko00900	Terpenoid backbone biosynthesis [PATH:ko00900]
gene=uppS	ko01006	Prenyltransferases [BR:ko01006]
gene=sohB	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=lon	ko03030	DNA replication [PATH:ko03030]
gene=lon	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=lon	ko03430	Mismatch repair [PATH:ko03430]
gene=lon	ko03032	DNA replication proteins [BR:ko03032]
gene=lon	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=lon	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=pelA_3	ko00040	Pentose and glucuronate interconversions [PATH:ko00040]
gene=pelA_3	ko02024	Quorum sensing [PATH:ko02024]
gene=dgk	ko00230	Purine metabolism [PATH:ko00230]
gene=uvsE	99980	Enzymes with EC numbers
gene=prkC_2	ko04068	FoxO signaling pathway [PATH:ko04068]
gene=prkC_2	ko04110	Cell cycle [PATH:ko04110]
gene=prkC_2	ko04114	Oocyte meiosis [PATH:ko04114]
gene=prkC_2	ko04914	Progesterone-mediated oocyte maturation [PATH:ko04914]
gene=prkC_2	ko01001	Protein kinases [BR:ko01001]
gene=prkC_2	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=intQ	99976	Replication and repair
gene=erg	ko00100	Steroid biosynthesis [PATH:ko00100]
gene=yjoB	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=novN	99980	Enzymes with EC numbers
gene=purH_2	ko00230	Purine metabolism [PATH:ko00230]
gene=purH_2	ko00670	One carbon pool by folate [PATH:ko00670]
gene=purH_2	ko01523	Antifolate resistance [PATH:ko01523]
gene=purH_2	ko04147	Exosome [BR:ko04147]
gene=lyc	99992	Structural proteins
gene=nrdB_2	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdB_2	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=nrdB_2	ko00480	Glutathione metabolism [PATH:ko00480]
gene=nrdB_2	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
gene=nrdB_2	ko04115	p53 signaling pathway [PATH:ko04115]
gene=nrdB_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
protein=Deoxyguanosinetriphosphate	99997	Function unknown
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=aguA	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=nrdB_1	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdB_1	ko00240	Pyrimidine metabolism [PATH:ko00240]
