gene,importance
gene=rpiR,9.837416961042796e-05
gene=yhaI_2,0.0002925714446824002
gene=teaD_1,0.00012108274694833709
gene=arcB,6.704429754087264e-05
gene=manP_4,7.696934838711026e-05
gene=nfdA_4,6.089115893833137e-05
gene=ulaC_2,0.00021113155264603227
protein=Invasin,4.1236668427263785e-05
gene=ramA,5.090680504462815e-05
gene=rutB,0.0009723829991763453
gene=pspA,0.00011533479783425522
gene=bluB,0.0001796385123266959
gene=nasR,0.0001629004113005297
gene=radD_1,0.00011311307485190701
gene=yphA,0.00010033649802245216
gene=ydjZ_1,0.0003260796143157097
gene=vraR_3,0.0004148565081986798
gene=nuoM,0.0018027606394534672
gene=yscJ,5.5950332005172084e-05
gene=folK,0.0002331590559579729
gene=ddlA_1,0.00026289775439915664
protein=Cyclomaltodextrinase,0.0003585010272836448
gene=cobS,4.082923636364847e-05
gene=spoIIAB,6.096430364995882e-05
gene=ywlF,6.734089978992442e-05
gene=pspE_2,6.756160350346992e-05
gene=cheV_1,5.0049243744219925e-05
gene=ppdK,0.00013059700013302376
gene=paiA_1,0.0001075786532459947
gene=araQ_7,0.0002511783956520925
gene=trxB,0.00011176512153527249
gene=coaE_1,9.066825921249398e-05
gene=hprA_1,0.00034451853609970584
gene=mazF,0.0005309299719490416
gene=podJ,4.6964442577896416e-05
gene=icd_2,5.202975150119489e-05
gene=pupB,5.467797849543853e-05
gene=prsA_1,0.00010499967560463028
gene=ptsI,0.00016446575073177157
gene=ycgJ_2,9.931202027317043e-05
protein=putative outer membrane protein pmp10,5.899096957558191e-05
gene=pucL,0.00013194457479173422
gene=appA_1,5.8131984499405396e-05
gene=lolE,6.315280014247953e-05
gene=glpK_3,0.00015482352597360238
gene=yscF,4.1901766650194626e-05
gene=fgd1,0.0003375561648025212
gene=cpdR_2,8.720255888480937e-05
gene=pbpB,6.526250387273394e-05
protein=Epimerase family protein,4.436650949330979e-05
gene=mtcA1,4.4532014244762935e-05
gene=pemK,6.932611345378445e-05
gene=mbtB_2,7.945197981817669e-05
gene=rbsD,9.375350362353691e-05
gene=cocE_3,0.0004945402713766199
gene=cbdB,0.00012835681233898096
gene=argE,5.257318432523037e-05
protein=D-alanyl-D-alanine carboxypeptidase,0.002484019446652624
gene=uup,7.419467212711429e-05
gene=ubiD,4.900044360611186e-05
gene=phnD_2,5.364014719250894e-05
gene=rsmC,0.00019967428124035547
gene=rpfC_2,4.95303740925521e-05
gene=cdiA2,8.685835273420384e-05
gene=gstB_6,0.00010852593207985764
gene=fabF_1,7.216204996112879e-05
gene=scpA_3,0.00033285280225076584
gene=ftsL,0.00027501105300066736
gene=recC,0.00015764435956363215
gene=cccA_1,8.671109657883231e-05
gene=tcyC,0.0002888940605278522
gene=merA_2,0.000122183777147164
gene=opuBA_1,6.0655163269842065e-05
protein=Single-stranded DNA-binding protein,4.3354943464760966e-05
gene=rpiA_1,5.830974395474564e-05
gene=rnk,6.130148161396197e-05
gene=ulaC_1,0.00024740838648038043
gene=csrA,0.0002211596263417576
gene=prfB,0.00020927678417096115
gene=araQ_11,4.8974385065783115e-05
gene=yedQ_1,0.00020817036889535603
gene=nhaP2_2,0.00011345704383157244
gene=prrB,4.012731743196633e-05
gene=prsE_2,4.2084781096887486e-05
gene=flgA_1,7.121939312629821e-05
gene=lrp_7,4.799694024237581e-05
gene=crcB,0.00017318099680096218
gene=yjmB_1,7.268141947019831e-05
gene=secE,5.9196862141152015e-05
gene=argF_2,8.761654227818423e-05
gene=plsY,6.471103548903808e-05
gene=garD_2,5.5291752328602454e-05
gene=dam_2,0.00010624962831203316
gene=fadR_7,0.002306364616042948
gene=clfB,8.407222288567268e-05
gene=nuoH,0.00040886133377915086
gene=manA,0.00021746609224607456
gene=kdc,5.211386091584509e-05
gene=rgtA,9.402015828244264e-05
gene=pgtB,0.0001838387596230224
gene=proC,0.0004350144892016052
gene=sufU,7.971535336131068e-05
gene=guaB_4,7.81292845403147e-05
gene=mtnB,4.4627667277185775e-05
gene=glgC_2,7.028108838238625e-05
gene=nei1_2,0.00026013423762528883
gene=tycC_2,0.00029272168742865693
gene=ptsO,7.248938071427978e-05
