gene_id	GO	description
gene=nrdD_1	GO:0009265	2'-deoxyribonucleotide biosynthetic process
gene=nrdD_1	GO:0006260	DNA replication
gene=nrdD_1	GO:0008998	ribonucleoside-triphosphate reductase activity
gene=nrdD_1	GO:0031250	anaerobic ribonucleoside-triphosphate reductase complex
gene=nrdD_1	GO:0005524	ATP binding
gene=pncB2	GO:0005829	cytosol
gene=pncB2	GO:0004516	nicotinate phosphoribosyltransferase activity
gene=pncB2	GO:0034355	NAD salvage
gene=pncB2	GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
gene=spoVK	GO:0016887	ATP hydrolysis activity
gene=spoVK	GO:0005524	ATP binding
gene=ytrE	GO:0016021	integral component of membrane
gene=ytrE	GO:0005524	ATP binding
gene=rpoB_3	GO:0046872	metal ion binding
gene=rpoB_3	GO:0005665	RNA polymerase II, core complex
gene=rpoB_3	GO:0006351	transcription, DNA-templated
gene=rpoB_3	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
gene=rpoB_3	GO:0003677	DNA binding
gene=rpoB_3	GO:0032549	ribonucleoside binding
gene=nucS	GO:0000014	single-stranded DNA endodeoxyribonuclease activity
gene=nucS	GO:0003677	DNA binding
gene=nucS	GO:0005737	cytoplasm
gene=nrdB_3	GO:0046872	metal ion binding
gene=nrdB_3	GO:0006260	DNA replication
gene=nrdB_3	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdB_3	GO:0009263	deoxyribonucleotide biosynthetic process
gene=strB1	GO:0015067	amidinotransferase activity
gene=rpoBC	GO:0000287	magnesium ion binding
gene=rpoBC	GO:0006351	transcription, DNA-templated
gene=rpoBC	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
gene=rpoBC	GO:0003677	DNA binding
gene=rpoBC	GO:0009507	chloroplast
gene=rpoBC	GO:0008270	zinc ion binding
gene=infC	GO:0003743	translation initiation factor activity
gene=infC	GO:0005737	cytoplasm
gene=yceC	GO:0046690	response to tellurium ion
gene=pknB_3	GO:0016021	integral component of membrane
gene=pknB_3	GO:0009190	cyclic nucleotide biosynthetic process
gene=pknB_3	GO:0004674	protein serine/threonine kinase activity
gene=pknB_3	GO:0106310	protein serine kinase activity
gene=pknB_3	GO:0035556	intracellular signal transduction
gene=pknB_3	GO:0005524	ATP binding
gene=pknB_3	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=sseI	GO:0005576	extracellular region
gene=sseI	GO:0030430	host cell cytoplasm
gene=glyA	GO:0035999	tetrahydrofolate interconversion
gene=glyA	GO:0005737	cytoplasm
gene=glyA	GO:0004372	glycine hydroxymethyltransferase activity
gene=glyA	GO:0019264	glycine biosynthetic process from serine
gene=glyA	GO:0030170	pyridoxal phosphate binding
gene=alx	GO:0016021	integral component of membrane
gene=alx	GO:0005886	plasma membrane
gene=alx	GO:0046690	response to tellurium ion
protein=Dihydrofolate	GO:0006730	one-carbon metabolic process
protein=Dihydrofolate	GO:0046677	response to antibiotic
protein=Dihydrofolate	GO:0004146	dihydrofolate reductase activity
protein=Dihydrofolate	GO:0046654	tetrahydrofolate biosynthetic process
protein=Dihydrofolate	GO:0031427	response to methotrexate
gene=cshA	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
gene=cshA	GO:0005681	spliceosomal complex
gene=cshA	GO:0003723	RNA binding
gene=cshA	GO:0016887	ATP hydrolysis activity
gene=cshA	GO:0006397	mRNA processing
gene=cshA	GO:0005737	cytoplasm
gene=cshA	GO:0000381	regulation of alternative mRNA splicing, via spliceosome
gene=cshA	GO:0051028	mRNA transport
gene=cshA	GO:0016607	nuclear speck
gene=cshA	GO:0006417	regulation of translation
gene=cshA	GO:0003724	RNA helicase activity
gene=cshA	GO:0005524	ATP binding
gene=cshA	GO:0008380	RNA splicing
gene=adhc1	GO:0016491	oxidoreductase activity
gene=adhc1	GO:0030430	host cell cytoplasm
gene=adhc1	GO:0008270	zinc ion binding
gene=tobZ_2	GO:0009058	biosynthetic process
gene=tobZ_2	GO:0016740	transferase activity
gene=spoT	GO:0016301	kinase activity
gene=spoT	GO:0015970	guanosine tetraphosphate biosynthetic process
gene=spoT	GO:0005524	ATP binding
gene=spoT	GO:0005525	GTP binding
gene=spoT	GO:0008728	GTP diphosphokinase activity
protein=Autolysin	GO:0008152	metabolic process
protein=Autolysin	GO:0016798	hydrolase activity, acting on glycosyl bonds
protein=Autolysin	GO:0005576	extracellular region
gene=oleD	GO:0008194	UDP-glycosyltransferase activity
gene=pbsA1	GO:0046872	metal ion binding
gene=pbsA1	GO:0006788	heme oxidation
gene=pbsA1	GO:0015979	photosynthesis
gene=pbsA1	GO:0004392	heme oxygenase (decyclizing) activity
gene=pbsA1	GO:0009507	chloroplast
gene=kdsD	GO:1901135	carbohydrate derivative metabolic process
gene=kdsD	GO:0005524	ATP binding
gene=kdsD	GO:0005975	carbohydrate metabolic process
gene=kdsD	GO:0019146	arabinose-5-phosphate isomerase activity
gene=cca_1	GO:0000049	tRNA binding
gene=cca_1	GO:0004112	cyclic-nucleotide phosphodiesterase activity
gene=cca_1	GO:0001680	tRNA 3'-terminal CCA addition
gene=cca_1	GO:0042245	RNA repair
gene=cca_1	GO:0052927	CTP:tRNA cytidylyltransferase activity
gene=cca_1	GO:0000287	magnesium ion binding
gene=cca_1	GO:0016791	phosphatase activity
gene=cca_1	GO:0052929	ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity
gene=cca_1	GO:0005524	ATP binding
gene=cca_1	GO:0016437	tRNA cytidylyltransferase activity
gene=cca_1	GO:0052928	CTP:3'-cytidine-tRNA cytidylyltransferase activity
gene=fucT	GO:0008417	fucosyltransferase activity
gene=fucT	GO:0006486	protein glycosylation
gene=fucT	GO:0016020	membrane
gene=ftsH3	GO:0016021	integral component of membrane
gene=ftsH3	GO:0005524	ATP binding
gene=ftsH3	GO:0016887	ATP hydrolysis activity
gene=ftsH3	GO:0033644	host cell membrane
gene=mutS	GO:0030983	mismatched DNA binding
gene=mutS	GO:0005524	ATP binding
gene=mutS	GO:0003684	damaged DNA binding
gene=mutS	GO:0006298	mismatch repair
gene=cobO	GO:0008817	cob(I)yrinic acid a,c-diamide adenosyltransferase activity
gene=cobO	GO:0005524	ATP binding
gene=cobO	GO:0009236	cobalamin biosynthetic process
gene=sle1	GO:0000917	division septum assembly
gene=sle1	GO:0042742	defense response to bacterium
gene=sle1	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
gene=sle1	GO:0008152	metabolic process
gene=sle1	GO:0019835	cytolysis
gene=sle1	GO:0005576	extracellular region
gene=sle1	GO:0071555	cell wall organization
gene=sle1	GO:0009986	cell surface
gene=nrdG	GO:0046872	metal ion binding
gene=nrdG	GO:0051539	4 iron, 4 sulfur cluster binding
gene=nrdG	GO:0043365	[formate-C-acetyltransferase]-activating enzyme activity
gene=ugd	GO:0000271	polysaccharide biosynthetic process
