0	1
gene=nrdD_1	K21636
gene=pncB2	K00763
gene=rpoB_3	K03010
gene=nucS	K07503
gene=yceC	K05791
gene=nanM	K10456
gene=pknB_3	K04417
gene=glyA	K00600
gene=alx	K05794
gene=cshA	K03257
gene=adhc1	K13979
gene=tobZ_2	K00612
gene=oleD	K00699
gene=pbsA1	K21480
gene=kdsD	K06041
protein=Bifunctional	K24543
gene=higB-1	K07334
gene=fucT	K20151
gene=nrdG	K04068
gene=hldE_2	K21344
gene=tadA	K01493
gene=lpp	K06078
gene=queE_4	K10026
gene=msrAB	K12267
gene=nrdF_1	K00526
gene=uppS	K00806
gene=sohB	K04774
gene=lon	K10756
gene=pelA_3	K01728
gene=dgk	K15518
gene=uvsE	K13281
gene=prkC_2	K06631
gene=intQ	K14059
gene=erg	K00213
gene=yjoB	K08900
gene=novN	K00612
gene=purH_2	K00602
gene=lyc	K07273
gene=nrdB_2	K10808
protein=Deoxyguanosinetriphosphate	K06885
protein=Putative	K00654
gene=aguA	K10536
gene=eccC	K27086
gene=nrdB_1	K10808
gene=cwlD	K01448
gene=polA_3	K02335
gene=topA_2	K03168
gene=ubiB	K03688
gene=csgG	K06214
gene=tauB	K02049
gene=dnaE1	K02337
gene=aer	K03776
gene=purL_1	K01952
gene=tal_1	K08313
gene=metG	K01874
gene=pknB_2	K19603
gene=whiB2_2	K18955
gene=dcd	K01494
gene=gmk	K00942
gene=queF	K06879
gene=ogt	K00567
gene=psbA1	K02703
gene=pilQ	K02666
protein=putative	K07478
gene=ydiP	K00558
gene=haeIIIM_1	K00558
gene=mtcA2	K01673
gene=xseA	K03601
protein=putative	K07478
gene=rapG	K06369
gene=recE_1	K10906
gene=rmlD	K00067
gene=isp	K01183
gene=lacA	K00661
gene=recQ	K03654
gene=clpX	K03544
gene=exoX	K10857
gene=rlmI	K06969
gene=exo	K12373
gene=mboIIM_2	K07319
gene=dinI	K12149
gene=dcm	K00558
gene=rrrD	K01185
protein=Thioredoxin	K03671
gene=wbgU	K01784
gene=lagD	K20344
gene=sigB	K03090
gene=gyrA	K02469
gene=purM	K01933
gene=yjoB_1	K08900
gene=sufU	K04488
gene=hupA	K03530
gene=zwf	K00036
gene=ldhA	K03778
gene=rlpA	K03642
gene=lysS	K04566
protein=6-phosphogluconate	K00033
gene=acoA	K00167
gene=gmd	K01711
gene=cypB	K14338
gene=yehU	K02478
gene=hup	K05787
gene=paeR7IM	K07317
gene=cwlK	K17733
gene=psbD	K02706
gene=phrB_2	K06876
gene=iap_2	K19223
gene=pnbA	K01049
gene=hhaIM_2	K00558
gene=mboIIM_1	K00571
gene=dut_1	K01520
gene=masK	K08884
gene=nfo	K01151
gene=yojM	K04565
gene=glxK	K00865
gene=pcm	K00573
gene=bla	K17836
gene=ubiB_2	K08869
gene=ssbA	K03111
gene=ravA	K03924
protein=Actin-binding	K06694
gene=gluP	K02857
gene=dprA	K04096
gene=ctrA	K02483
protein=Putative	K00654
gene=eno	K01689
gene=pknL	K22008
gene=rpfD	K21691
gene=hslU	K03667
gene=nrdA_2	K00525
gene=chp1	K22796
gene=rtcB	K14415
gene=thyA_2	K13998
gene=helD	K03657
gene=pphB	K07314
gene=aroD	K03785
protein=putative	K07478
gene=betA_1	K00108
gene=cca	K00974
gene=tufB	K03242
gene=pnbA_2	K03929
gene=prkC_5	K04424
gene=sigF_1	K02405
gene=nrdZ	K00525
gene=psaD	K02692
gene=dnaX_1	K10755
gene=rfbD	K01854
gene=fiu	K02014
gene=rapA_2	K15505
gene=rlmCD_1	K03215
gene=recA_1	K03553
gene=macB	K02003
gene=pelA_1	K01728
gene=rpe	K01783
gene=nrdD	K21636
gene=cysS	K01883
gene=panD	K01579
gene=dps2	K04047
gene=mepH	K21471
gene=acsAB	K13680
gene=glf	K01854
gene=psaA	K02689
gene=nrdB	K00526
gene=holE	K02345
gene=hicA	K07339
gene=ubiE	K10770
gene=dnaK	K03283
gene=ptrA	K01408
gene=yceD	K05795
gene=pstS	K02040
gene=yokI	K21489
gene=comEC_2	K02238
gene=spoIIIE	K03466
gene=ftsH4	K06027
protein=Putative	K00654
gene=dnaJ_1	K03686
gene=def1	K01462
gene=kpsF	K06041
gene=tarD	K00967
gene=gcvP	K00281
gene=guaC	K00088
gene=dnaN	K02338
gene=ssb2	K03111
gene=levB	K01212
gene=eccA3	K27084
gene=hldE_1	K14656
gene=trxA_2	K03671
gene=tadA_2	K01493
gene=tuaD	K00012
gene=argS	K01887
gene=purL	K01952
gene=mku	K10979
gene=blc	K03098
protein=putative	K07478
gene=asnB	K01953
gene=hdc	K25193
gene=serS	K01875
gene=tdk	K00857
gene=pepO	K07386
gene=rpoC_2	K03006
gene=tobZ	K00612
