0	1
gene=ndoAI	K07723
gene=mntP_4	K23242
gene=asd2	K00133
gene=nuoL	K00341
gene=ywlC	K07566
gene=yhdE	K06287
gene=bamA_1	K07277
gene=xpsD	K02453
gene=mdaB_2	K03923
gene=sugA_4	K02025
gene=vgrG1_7	K11904
gene=mntR	K11924
gene=frwD	K11202
gene=mazE	K07172
gene=camA_1	K08232
protein=Cytochrome	K17483
gene=mboIIM_1	K00571
gene=bglF_2	K02753
gene=yhaM_1	K03698
gene=rpoA_1	K06952
gene=ltxD_1	K11003
gene=eccE3	K27088
gene=cysW_1	K02054
gene=pyrR_1	K02825
gene=drrA_7	K25150
gene=yhjE_14	K08172
gene=gbsB	K11440
gene=yjjG_3	K07025
gene=paaZ	K02618
gene=eutC_3	K03736
gene=hlyB	K11004
gene=ihfA_2	K04764
gene=tme	K00029
gene=wzxC	K16695
gene=groL_3	K22447
gene=mnhA1	K05565
gene=lasR	K18304
gene=yokJ	K21490
gene=rocF_2	K01476
gene=yobK	K21488
gene=bioF_1	K00652
gene=xthA_2	K01142
gene=ratA	K18588
gene=hmoA	K07145
gene=besA_2	K23721
gene=pstA2_1	K02038
gene=hemH1	K01772
gene=soj_5	K03496
gene=gno_2	K08081
gene=amiB2	K01426
gene=ppaX_4	K01091
gene=cwlM	K01448
gene=rluA_2	K06177
gene=nusG_2	K02601
gene=dppB_1	K12369
gene=licA_4	K02759
gene=pphB	K07314
gene=mtcA2_2	K01673
gene=ydaF_1	K03790
gene=hemX	K02496
gene=livH_7	K01998
gene=petE_2	K02638
gene=rpsS_1	K02965
gene=spiA_2	K03219
gene=dpp5_7	K01303
gene=hlgC	K11038
gene=desK	K07778
gene=carD_3	K03521
gene=cmpA	K11950
gene=bfr	K03594
gene=ygfA_2	K01934
gene=spxA_8	K16509
gene=mug	K03649
gene=atl	K07443
gene=deoR_3	K05346
gene=brnQ_6	K03311
gene=leuC1	K01703
gene=ectB_3	K00836
gene=uctC_8	K01796
gene=cysG_1	K02302
gene=pks1_2	K12430
gene=prfC	K02837
protein=D-hydantoinase	K01464
gene=ethR_7	K21961
gene=trmB_2	K03439
gene=moaD_3	K03636
gene=flhB_2	K04061
gene=purH_3	K00602
gene=echA8_8	K12663
gene=hypD	K04654
gene=sdhE	K09159
gene=hns	K03746
gene=ghxQ_2	K06901
gene=metP_2	K02072
gene=neo_1	K00897
gene=hemB_1	K01698
